Conformation_ID,Num_IMHB,IMHB_Pairs
1,3,"[(84, 16), (88, 21), (109, 59)]"
2,3,"[(84, 16), (88, 21), (109, 59)]"
3,2,"[(84, 16), (88, 21)]"
4,2,"[(84, 16), (88, 21)]"
5,2,"[(84, 16), (88, 21)]"
6,2,"[(84, 16), (88, 21)]"
7,2,"[(84, 16), (88, 21)]"
8,2,"[(84, 16), (88, 21)]"
9,2,"[(84, 16), (88, 21)]"
10,2,"[(84, 16), (88, 21)]"
11,3,"[(84, 16), (88, 21), (109, 12)]"
12,2,"[(84, 16), (88, 21)]"
13,2,"[(84, 16), (88, 21)]"
14,3,"[(84, 16), (88, 21), (92, 31)]"
15,3,"[(84, 16), (88, 21), (109, 59)]"
16,2,"[(84, 16), (88, 21)]"
17,2,"[(84, 16), (88, 21)]"
18,3,"[(84, 16), (88, 21), (92, 28)]"
19,3,"[(84, 16), (88, 21), (92, 28)]"
20,3,"[(84, 16), (88, 21), (92, 28)]"
21,3,"[(84, 16), (88, 21), (92, 28)]"
22,1,"[(84, 31)]"
23,3,"[(84, 16), (88, 21), (92, 28)]"
24,3,"[(84, 16), (88, 21), (92, 28)]"
25,3,"[(84, 16), (88, 21), (92, 28)]"
26,3,"[(84, 16), (88, 21), (92, 28)]"
27,3,"[(84, 16), (88, 21), (92, 28)]"
28,3,"[(84, 16), (88, 21), (92, 28)]"
29,1,"[(84, 31)]"
30,1,"[(84, 16)]"
31,1,"[(84, 16)]"
32,1,"[(84, 16)]"
33,2,"[(84, 16), (92, 28)]"
34,1,"[(84, 16)]"
35,1,"[(84, 16)]"
36,2,"[(84, 16), (109, 59)]"
37,3,"[(84, 16), (92, 28), (109, 12)]"
38,2,"[(84, 16), (109, 59)]"
39,2,"[(84, 16), (109, 59)]"
40,2,"[(84, 16), (109, 59)]"
41,2,"[(84, 16), (109, 59)]"
42,2,"[(84, 16), (109, 59)]"
43,2,"[(84, 16), (109, 59)]"
44,2,"[(84, 16), (88, 21)]"
45,3,"[(84, 16), (88, 21), (109, 59)]"
46,3,"[(84, 16), (88, 21), (109, 59)]"
47,3,"[(84, 16), (88, 21), (109, 59)]"
48,4,"[(84, 16), (92, 31), (92, 28), (109, 12)]"
49,2,"[(84, 16), (88, 21)]"
50,3,"[(84, 16), (88, 21), (109, 59)]"
51,3,"[(84, 16), (88, 21), (109, 59)]"
52,3,"[(84, 16), (88, 21), (109, 59)]"
53,3,"[(84, 16), (88, 21), (109, 59)]"
54,3,"[(84, 16), (88, 21), (109, 59)]"
55,3,"[(84, 16), (88, 21), (109, 59)]"
56,3,"[(84, 16), (88, 21), (109, 59)]"
57,2,"[(84, 16), (88, 21)]"
58,4,"[(84, 16), (88, 21), (92, 31), (109, 59)]"
59,3,"[(84, 16), (92, 31), (109, 12)]"
60,1,"[(84, 16)]"
61,2,"[(84, 16), (109, 59)]"
62,2,"[(84, 16), (88, 21)]"
63,3,"[(84, 16), (92, 28), (109, 59)]"
64,3,"[(84, 16), (88, 21), (92, 28)]"
65,2,"[(84, 16), (88, 21)]"
66,2,"[(84, 16), (88, 21)]"
67,3,"[(84, 16), (88, 21), (92, 28)]"
68,3,"[(84, 16), (88, 21), (92, 28)]"
69,2,"[(84, 16), (109, 59)]"
70,5,"[(84, 16), (88, 21), (92, 28), (92, 31), (109, 12)]"
71,3,"[(84, 16), (92, 28), (109, 59)]"
72,2,"[(84, 16), (88, 21)]"
73,1,"[(84, 16)]"
74,1,"[(84, 16)]"
75,2,"[(84, 16), (88, 21)]"
76,1,"[(84, 16)]"
77,2,"[(84, 16), (92, 28)]"
78,2,"[(84, 16), (88, 21)]"
79,3,"[(84, 16), (88, 21), (92, 28)]"
80,2,"[(84, 16), (88, 21)]"
81,3,"[(84, 16), (92, 28), (109, 12)]"
82,2,"[(84, 16), (92, 28)]"
83,3,"[(84, 16), (88, 21), (92, 28)]"
84,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
85,1,"[(84, 16)]"
86,2,"[(84, 16), (88, 21)]"
87,2,"[(84, 16), (88, 21)]"
88,2,"[(84, 16), (88, 21)]"
89,0,[]
90,2,"[(84, 16), (88, 21)]"
91,1,"[(84, 16)]"
92,3,"[(84, 16), (92, 28), (109, 12)]"
93,3,"[(84, 16), (88, 21), (109, 59)]"
94,2,"[(84, 16), (109, 59)]"
95,1,"[(84, 16)]"
96,3,"[(84, 16), (88, 21), (109, 59)]"
97,3,"[(84, 16), (88, 21), (109, 59)]"
98,3,"[(84, 16), (88, 21), (109, 59)]"
99,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
100,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
101,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
102,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
103,2,"[(84, 16), (109, 12)]"
104,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
105,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
106,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
107,3,"[(84, 16), (88, 21), (109, 59)]"
108,3,"[(84, 16), (88, 21), (109, 59)]"
109,3,"[(84, 16), (88, 21), (109, 59)]"
110,3,"[(84, 16), (88, 21), (109, 59)]"
111,3,"[(84, 16), (88, 21), (109, 59)]"
112,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
113,3,"[(84, 16), (88, 21), (109, 59)]"
114,3,"[(84, 16), (92, 28), (109, 12)]"
115,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
116,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
117,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
118,3,"[(84, 16), (88, 21), (92, 28)]"
119,3,"[(84, 16), (88, 21), (92, 28)]"
120,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
121,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
122,3,"[(84, 16), (88, 21), (109, 59)]"
123,4,"[(84, 16), (88, 21), (92, 28), (109, 59)]"
124,3,"[(84, 16), (88, 21), (109, 59)]"
125,2,"[(84, 16), (109, 12)]"
126,2,"[(84, 16), (92, 28)]"
127,3,"[(84, 16), (92, 28), (109, 28)]"
128,2,"[(84, 16), (92, 28)]"
129,2,"[(84, 16), (88, 21)]"
130,3,"[(84, 16), (92, 39), (109, 28)]"
131,2,"[(84, 16), (109, 28)]"
132,3,"[(84, 16), (92, 39), (109, 28)]"
