Conformation_ID,PSA
1,202.70
2,203.64
3,203.65
4,202.09
5,196.42
6,204.60
7,204.29
8,203.08
9,187.65
10,186.00
11,206.64
12,195.79
13,202.60
14,185.85
15,190.92
16,184.27
17,208.16
18,192.14
19,191.46
20,191.09
21,188.73
22,198.66
23,192.50
24,187.03
25,192.34
26,181.53
27,189.49
28,197.01
29,196.16
30,203.79
31,229.74
32,213.42
33,208.42
34,208.03
35,206.75
36,221.15
37,212.17
38,213.53
39,209.99
40,211.38
41,203.81
42,202.59
43,203.05
44,201.89
45,203.13
46,205.11
47,203.87
48,217.15
49,204.13
50,205.74
51,204.10
52,204.63
53,204.13
54,212.76
55,204.89
56,202.56
57,206.05
58,204.39
59,213.71
60,211.30
61,205.60
62,204.50
63,203.62
64,205.93
65,207.32
66,206.84
67,206.09
68,200.11
69,188.62
70,207.37
71,219.35
72,208.25
73,206.43
74,204.80
75,206.92
76,188.15
77,204.97
78,217.60
79,208.60
80,211.62
81,216.35
82,191.27
83,209.17
84,209.70
85,208.52
86,209.90
87,196.10
88,196.02
89,204.72
90,207.75
91,208.98
92,209.43
93,202.00
94,201.08
95,205.84
96,188.40
97,202.00
98,195.49
99,193.38
100,199.51
101,190.33
102,190.99
103,211.92
104,194.68
105,190.92
106,187.97
107,188.70
108,186.51
109,194.54
110,194.97
111,201.31
112,203.73
113,207.24
114,203.26
115,202.68
116,205.50
117,197.03
118,187.40
119,202.79
120,195.09
121,193.81
122,204.06
123,203.14
124,206.20
125,199.28
126,167.89
127,173.03
128,158.73
129,151.42
130,149.17
131,162.24
132,151.65
133,186.05
134,166.13
135,170.77
136,186.56
137,161.52
138,173.93
139,165.67
140,168.06
141,149.57
142,149.12
143,148.18
144,162.71
145,161.27
146,155.75
147,188.23
148,174.96
149,151.64
150,148.37
151,153.19
152,185.76
153,153.70
154,175.43
155,203.61
156,203.23
157,187.02
158,205.73
159,195.40
160,193.72
161,185.76
162,209.49
163,171.84
164,205.50
165,206.41
166,186.00
167,201.96
168,201.21
169,186.09
170,208.97
171,200.46
172,185.58
173,208.26
174,211.47
175,213.17
176,209.28
177,211.74
178,212.13
179,211.31
180,192.44
181,212.18
182,208.71
183,218.96
184,187.97
185,210.93
186,194.09
187,200.83
188,188.63
189,205.82
190,224.05
191,226.39
192,212.07
193,211.51
194,202.82
195,198.44
196,201.29
197,216.63
198,223.54
199,213.40
200,217.22
201,213.77
202,201.51
203,204.32
204,211.34
205,221.66
206,212.01
207,212.64
208,221.68
209,225.83
210,223.79
211,231.26
212,208.33
213,206.80
214,211.02
215,215.02
216,212.90
217,193.22
218,217.54
219,217.17
220,203.94
221,211.04
222,214.51
223,205.39
224,211.35
225,224.54
226,208.65
227,232.06
228,189.85
229,213.45
230,198.69
231,224.51
232,205.46
233,214.65
234,224.52
235,219.04
236,222.62
237,211.61
238,185.27
239,195.26
240,211.25
241,203.14
242,210.62
243,189.79
244,186.71
245,176.06
246,185.57
247,156.82
248,155.64
249,156.50
250,203.80
251,166.08
252,170.62
253,166.73
254,158.98
255,156.07
256,145.90
257,186.61
258,155.70
259,174.33
260,177.43
261,174.07
262,168.71
263,168.36
264,183.85
265,164.95
266,160.55
267,157.26
268,152.09
269,153.74
270,182.69
271,191.19
272,157.07
273,156.32
274,157.84
275,147.06
276,167.55
277,182.03
278,166.00
279,146.25
280,157.58
281,167.59
282,156.11
283,153.42
284,153.07
285,155.55
286,165.81
287,142.05
288,166.75
289,160.42
290,173.96
291,165.24
292,156.17
293,167.88
294,157.18
295,159.17
296,153.05
297,175.90
298,149.08
299,155.81
300,183.30
301,145.61
302,164.17
303,154.99
304,159.23
305,166.27
306,168.56
307,150.60
308,149.99
309,187.93
310,167.79
311,152.18
312,169.25
313,157.70
314,158.56
315,161.43
316,159.98
317,146.17
318,146.85
319,153.64
320,214.10
321,174.30
322,157.60
323,159.29
324,159.74
325,164.55
326,148.73
327,147.77
328,151.87
329,159.60
330,147.69
331,204.39
332,154.73
333,155.27
334,171.58
335,163.60
336,151.73
337,151.36
338,168.86
339,181.31
340,160.32
341,150.10
342,182.62
343,151.87
344,161.85
345,157.40
346,173.74
347,149.45
348,170.91
349,159.01
350,155.32
351,168.59
352,156.23
353,179.69
354,153.44
355,182.11
356,163.26
357,164.62
358,156.78
359,154.64
360,153.01
361,179.76
362,148.94
363,137.57
364,158.88
365,138.53
366,147.85
367,156.35
368,156.30
369,175.57
370,154.11
371,155.06
