Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA)
1,-8.887244742059597e-05,-0.00013551725858378382,0.0054633713381950335,6.386515256195935e-07,0.0007276036504070937,0.0012420826004456488,0.0002657570055510927,-0.0008633388040989898,0.000158677337368629,2.2935338640150958e-05,-0.0016105421193258085,0.00023847951281612544,0.019254705119107783,0.021788662670672587,0.0006180151846990389,-0.0021331279133942173,-0.0010783317841735584
2,0.0017005222868293978,-5.086780809615554e-05,-0.0023923591156434164,0.005623091118625334,0.006279080338831155,0.018118554967709154,0.03588003065999508,0.008939200356196197,0.005340268916184931,-0.004408591395325656,-0.00603186162710645,0.10677720477595243,-0.08830857025482322,0.12794711304446293,-0.08005693969537961,-0.10190228271327491,-0.0007959411303692266
3,-0.1935686218574087,-0.1350025006716415,0.2932499042425454,-0.1755057179881655,0.11133509424372298,-0.06291378767757616,-0.2816340611101086,-0.040000244637397465,-0.19114631122017325,0.044645299498823454,-0.06531980252160419,0.06658784841732172,-0.10416715687439944,-0.05534822080872739,0.226863679878558,-0.12293529386350059,0.06968575524031331
4,-0.23318097618780181,-0.2563855325078741,0.0666720135216162,-0.14029548384764853,-0.3275328274260928,-0.016091608921903377,0.07131437716539084,0.2043519266326661,-0.34113730260788333,-0.37719154637749364,-0.012881379109149549,0.04906812355543053,0.029341720085342658,-0.02382866416201197,-0.45681254275151273,0.07420180476512458,-0.5157303384805565
5,0.00816188477156834,0.008306131430530762,-0.03201544285041032,0.021165275442596387,-0.009291831792965022,6.089558505679715e-05,-0.031784306658155834,-0.013584140216592488,0.017967801775396808,0.002120362399148412,0.061014854939041865,0.006297718631405181,0.043086773379740186,0.0007538936354452019,-0.1000161904503499,-0.07505206746104072,0.0006752565111330045
6,-0.0001006484665120766,-0.0014373816584782872,0.019613755843460746,0.0043036350574635176,0.062233576360331534,0.0070578196583060745,-0.007921918143184348,0.0032402941858996614,0.006515436871711011,0.0458674707726795,-0.03179301478306136,0.09787595785310958,-0.012988896022322472,-0.00170450237099673,-0.008911942017341069,0.007916771827956803,-0.002911625854716404
7,-0.00269606035758736,-0.04403817315338325,-0.0021166810545363733,-0.006015963814857095,-0.11566654943787928,-0.2561494411832785,-0.05520808170443194,-0.001103357790328241,-0.014629381957611143,-0.12677226098946742,-0.06275982079207103,-0.2171048516396815,0.12318040730736195,-0.01605799844953588,-0.0006578712590560087,0.0004412021479097028,-0.06877018919959203
8,0.009561478525197353,-0.03858457462534857,0.020719135723746996,0.016709147485401067,0.0028107814633767437,0.0025829713230434816,0.026784556114880752,0.049844963556386415,0.018635393564695058,0.005913511444050057,-0.12755927600105346,-0.10647648582924815,-0.028964172468072525,0.00946708651301369,-0.15890358990357906,-0.004084281445200078,-0.08077785588626478
9,-0.1198813139815682,-0.09782358075574224,-0.014900854092723037,-0.1722252788749464,-0.48026598109302654,-1.3686835070922867,-0.27728411819409143,-0.00011243235383711081,-0.09958880369833434,-0.4852316369630888,0.20284194656853788,-0.14087943042730303,-0.6372116656165662,-0.36504187063212984,0.640695346660272,-0.3823622551402831,-0.17189599261930538
10,-0.0045024566479026085,-0.00790437647068889,0.031088146180374497,-0.015207110796168233,-0.055844318279722915,-0.06885612496170387,-0.04762248422070074,-0.015547689972361467,-0.02088352007791272,-0.045007864461286774,0.005885645827047026,-0.03283913917576871,-0.2794097630053031,-0.30627706128889765,-0.0019270870271345998,-0.49794108773585927,0.00967731715213176
11,-0.09566361067540059,-0.18885466880531457,0.10495630927976918,-0.16357072237752524,-0.056251856864447,0.08012065309666831,-0.004225790826642206,-0.02061045463587339,-0.17875345471913703,-0.00890377044894144,-0.05794540007393052,-0.07882320538799832,0.10126975105486266,0.1216527262499669,0.6713527482782773,-0.000704471507094917,-0.35987056397370887
12,-0.0031587963577552557,-0.0029001287179166503,0.005897240228715928,-0.002301387828044421,0.07086917451011092,0.06938316844877737,0.001771429153176729,0.006585675803459268,-0.0007571902202299418,0.07406707827450042,-0.0009352593381037222,0.0025717065377319215,-0.004671769783872038,0.038258292841686636,-0.0028908502229332946,-0.00557903631464286,0.011125149645578791
13,-0.06858450066578899,0.13281425507002642,-0.0964628710058852,0.07223288120448931,-0.27114939787673265,-0.26025479248766015,0.03893767588442296,0.27410278279655215,-0.014066142647437507,-0.3634199839405019,-0.03483759101025026,0.11367843861885922,0.07148929838346958,-0.10480086208839619,-1.1045218310393583,-0.11417367876305864,-0.33245195970093444
14,-0.06916136646855517,-0.03245777432871524,0.15700636237660973,-0.06163022968995576,-0.003848093472453784,-0.022328861673084267,-0.1403399342997142,0.06516055381771699,-0.05253552365733429,-0.012160954676335068,-0.0029339417738468267,-0.0008057898086894832,-0.006886898741142566,0.08649017472577669,-0.0196368961158103,0.020010767552678922,0.003757086918732999
15,-0.012273343814366334,-0.013111045504481122,-0.017798134244043994,-0.012626965865953643,-0.04467406499169409,0.0007598513044716482,-0.02081475538420423,-0.02719071610263384,-0.016180707607430667,-0.04033933900071118,0.05967465446690325,0.013183476007110584,-0.008011369567290738,0.1655911102262932,0.001758666602285941,-0.054848752394413,0.0017841662596590924
16,0.01565928339537075,0.032757257641504015,0.0006286042074124421,0.010094545933676757,-0.04869507973090346,0.01276966398615027,0.0001387229361041742,0.000667863563055171,-0.000322331093988848,-0.04200169256169528,-0.04063482088597303,-0.0012836086693135186,-0.005126276227340276,0.0569144681034814,0.02340988171829923,0.01828126701449686,0.007455292312302552
