Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA),Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,0.03764639219916026,0.036909898227372076,-0.14705751241325252,0.03854732786099686,-0.14867159822705103,0.006048894131001248,-0.007177825688048744,-0.07790033275757494,0.03434748007470416,-0.15351756533983948,0.039049989416987715,0.024555841098362396,-0.04752051228115708,-0.002071814987968712,0.08751060915889686,-0.06605475665338474,0.008623484621231924,-0.14641494972058175,-0.06864408501438837,0.023151488424352062
2,-0.014176076105062819,-0.01708658530605185,0.1493013105465356,-0.013104412561585099,0.05175843896249015,-0.0014827355986278268,-0.004452619919640799,0.016647268213533295,-0.010945975970449384,0.04506721408829566,-0.010271301276328504,-0.049878774949073626,-0.0027096793815324814,0.05272030674363014,0.017591409589527852,0.014072076227972607,-0.011429987256825013,-0.03143828236023945,0.012743801685669864,0.3264861947442955
3,-0.01677447989814538,-0.010407032381959381,0.03841991379584524,-0.007929141403383766,-0.023933491116377582,-0.05826187299861265,-0.023237765715390234,-0.00824283838513551,-0.0038648709440846753,-0.008659134694321191,-0.018952074839552368,-0.07552985400000144,0.0011047043442374282,0.02048990704035266,0.01430579242589768,0.0047306551858125375,0.00426131806527269,0.025117738296521787,0.013038718845665787,0.5494096421351324
4,-0.07846155061909729,-0.10048655146855065,0.16542440056589713,-0.059685154847779386,0.028932208957123985,-0.018539275214014807,-0.003312445370755346,0.1558038137832288,-0.07699056219523563,0.013440575737695016,-0.009986603288801299,-0.27729016504338866,-0.020219408210406343,0.07069965714715368,-0.05430336399118936,0.017119276675446538,-0.08546395496924626,-0.061824744472318095,0.00462330678211943,0.26655095802176343
5,0.05074408986416874,0.06352502596625445,0.05091546221667949,0.05829262165149755,0.10132611539416356,0.0016934356150147378,-0.0017314660097569102,-0.030810256268041635,0.08751102471333039,0.15969676111788403,-0.15400074992448579,-0.18059320104291227,-0.013863970150953132,-0.03346972164623609,0.30422236031743205,-0.002367451482536187,0.12035953649957767,-0.030878128094848557,-0.04688514797538508,0.019887294660341448
6,0.02814989844895336,0.03432297535741221,0.022571377492400034,0.026700214905196272,0.08182532395872866,-0.016272085755882126,-0.002015117602627825,-0.003436816337123527,0.03516658298949764,0.10365551919368896,0.0628574296398662,-0.015030529695342942,-0.12927196901113774,-0.03896132700764741,0.1350998995850361,-0.05509267103507541,0.04195896179483268,-0.029926810643700376,-0.06318557046158556,0.040574294369655525
7,-0.011359508574499433,-0.01305170560938591,0.11446472552351912,-0.01006707488425317,0.04578039753767717,0.00010295988118917965,-0.003583387452073661,0.028460950323789102,-0.008148337533911709,0.03957286916180156,-0.00039335959924230446,-0.011015397667430482,0.00612579352834135,0.028507161911384027,0.016678738566560436,0.0055453918429515196,-0.0017736997104391915,-0.029727164372240156,0.025746779335875703,0.18818357896518706
8,0.015117760140532488,0.012022019709800302,0.0080118353735257,0.01711958149776155,-0.02931660954581461,0.012132990833281333,0.0010762521473981156,-0.011814662975465195,0.02429903336669568,-0.017529314268256747,0.02494796074911776,-0.03642857182390723,0.02022386825545409,-0.003312695134466459,0.2009019245137354,1.2130891054007443e-06,0.056264999858108365,-0.10801254661298802,-0.016158990260779216,0.046585025333008956
9,0.0004165775638192759,0.0012465891998451272,0.03764384946110948,0.00019914806535059615,0.07262193091295624,0.012857878132596956,0.0030687840144448587,0.012988164216403263,0.002818723008485047,0.07396645010215236,0.009209648369800205,-0.005915705482250666,-0.007996735620457763,0.0054317339668456645,0.03185264660456396,0.005121127343852972,0.019393421927700404,0.0036964528118592632,0.004700285153172268,0.10297037515120663
10,0.03239020250705656,0.029925606371962066,0.2026012864174341,0.03176546912626366,-0.005959209483176908,0.018847856332652558,0.012372822768868997,-0.02100429042648185,0.0339890478396501,0.012942297102097978,-0.006740591883572689,-0.049572066334202934,0.010677795277676793,-0.007872745193584418,0.14651169245900272,0.0022465275562553177,0.03411454155853788,-0.04467222730884916,-0.02641475436884826,0.06589144733138932
