Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA),Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,-0.0004681466061722039,-0.0008751184864410844,-0.003542279509153512,-0.0022101159104252143,-8.486239004996676e-05,-0.00012627774518390034,0.002249960872334311,0.0023044783697174554,-0.0017478633775259266,-0.0006598781293992939,0.003517719369947714,0.005010328262578722,-0.00203323828174371,0.009274216287921733,0.0038553229035057867,0.004952019684742415,-0.003107507464271975,0.01186304439946877,0.07465993973726333,0.0347951588445633
2,0.0041858171476903076,-0.00041324430985376635,0.10573726643171136,0.017822437195930862,-0.01922945356390828,0.02823297321746159,0.10382778845548199,0.09066796778685142,0.013148206217821201,0.009676602343453244,-0.10828454875544238,-0.08138548540245216,-0.018656957165029665,0.04527170660731254,-0.08449911199875575,-0.025405080207413056,-0.0005244605076268671,-0.0658556043316594,0.06369168330057731,0.07791238632235194
3,-0.1801306080285731,-0.12417975112151888,0.2012462315270092,-0.16632024352446462,0.04339623901786205,-0.06899884917169907,-0.23890732903629797,-0.035800449871522,-0.18281481525847776,-0.009700173069631201,-0.05710654209026356,0.05435695609425972,-0.07954131836377676,-0.028489552596070312,0.2185687427382314,-0.08259132903221025,0.06461971042100081,0.00621809252628931,-0.07217910510988719,0.022756320669466135
4,-0.2187792072736431,-0.21270844601148114,0.05579568809206594,-0.130418805134151,-0.254615171813648,-0.029098859693894454,0.016340052030766918,0.1617126332669092,-0.29252416829947775,-0.3088572518721457,0.044478729674377424,0.09241514625971074,0.0178370446687345,-0.02059393250797408,-0.43815938068105,0.0667448620305942,-0.4104452807351793,-0.2265639550636628,-0.1636690887092843,-0.12291770666301298
5,0.0007562148011315495,-0.00038248482281428854,-0.021299692487623135,0.009602687113072949,-0.0017961923735157815,0.0002245960320399254,-0.01306663509549264,-0.006209966844509451,0.008328110549696644,0.0027169454410032935,0.04797329209532937,0.004840163865036229,0.04302446057378082,0.022093966493763384,-0.09666339230048467,-0.051081732770518286,-0.013809198045807491,-0.01661167320474153,0.08141676830621927,0.018023978974029096
6,-0.0005584623931525811,-0.002250102043175173,0.01747693892763289,0.00380457587687677,0.0448552544316148,-0.0038068465600883616,-0.007235114386946661,0.0029972054497570564,0.005222491656031414,0.026140719634762964,-0.03249141529824766,0.08887633591481794,-0.007150873645001865,-0.0037156525012906226,-0.010608040910546634,0.004570140582307447,-0.0029479913431737837,0.007933314660790326,0.003174467461500874,0.011083324541974781
7,-0.0002228257396182709,-0.036777351441249315,-0.002800785237598058,-0.00344349896638918,-0.12455934786943908,-0.2749652386020503,-0.07422915425925805,0.0006304264329069831,-0.01075303566369965,-0.13357564593985072,-0.058506150131442156,-0.18361431864724018,0.09974984286217144,-0.019100393479225496,0.0027092141628732415,0.0026634285712101137,-0.06170977521112753,-0.09900337688091221,0.09622052148337393,0.001330367767330154
8,0.010328928521167824,-0.029883177274848616,0.026324906340223952,0.015372414574197201,0.0013443765240929828,0.0010710940132342861,0.02397531238838162,0.0498726660367399,0.016685169965584203,0.004077085452982155,-0.10884103126767689,-0.08272560567642909,-0.029038857086504867,0.012652566932450138,-0.1547381329068077,0.001141458517783689,-0.06940870692324261,-0.10250544415421745,-0.02790653262454903,-0.006219396576055747
9,-0.04509002835733593,-0.015952396742914265,0.0001163653705064771,-0.03993031454026132,-0.296775221579529,-0.7170765156849344,-0.1214405824375679,0.014315836380541125,-0.013195727556233683,-0.2968387135588028,0.01983658790402054,0.03438257615425346,-0.34967324694884344,-0.17967413394234155,0.19815780259220855,-0.17189372360074895,-0.01633923130643309,0.24136292048431454,-0.4223957001161242,-0.02726964839474686
10,-0.005636256069230794,-0.00896872362774619,0.00833954293760326,-0.014823207819294203,-0.055297627267482954,-0.06656111276617752,-0.03893446456555556,-0.024381522207273167,-0.019526665223180674,-0.044550610826641114,0.0005400214963820815,-0.029770605344809332,-0.21948024422524162,-0.2513209477870272,-0.009783593413923564,-0.427528842490685,0.007328623918783794,0.011785861097542117,-0.03618768965513328,0.03012112203754369
11,-0.1367648965860647,-0.2163298069770529,0.07800002052333821,-0.21420453426001554,-0.042400016168710405,0.09374053801568243,-0.026504220781309408,-0.04123393126631747,-0.2303809074924959,-0.016444062380008218,-0.013099180565563228,-0.05167241078729945,0.033925717024283354,0.12747570245674228,0.5604468491463621,0.008383399923813206,-0.38715555571335586,0.03578027766559964,-0.19557641227316563,0.3001939306409613
12,-0.0047351113208488945,-0.0038936099717896246,0.0014961922804614502,-0.0043264845813688725,0.07827471387737715,0.042345550065254076,0.0020708172627018962,0.004281219367002498,-0.0021077262513569004,0.07837930738593335,-0.003187821232626298,0.002916789744151238,-0.014852056500051735,0.021307790135357264,-0.004765956576649732,-0.01541459963195615,0.0020752939890486322,-0.0027677999991636117,-0.04183346452338423,-0.030574350088617232
13,-0.11281085792922108,0.10986280582824656,-0.08710249039671707,0.06637660528101304,-0.21807171634950434,-0.3063007527071985,0.026370581605607412,0.2955915160049664,-0.01018005471622141,-0.32284380908184235,-0.05978139268556264,0.12071762680124927,0.07803740916918996,-0.10554833344577426,-1.3098822758314725,-0.11458915470722189,-0.354380419662765,0.10108094495787805,-0.112827602358057,-0.17671199406847565
14,-0.08571695972830845,-0.04355714793245642,0.1150376826419099,-0.07861444184759703,-0.0008924339999350384,-0.034860343112215156,-0.14257409942288288,0.04246548059078174,-0.06955162508026153,0.0019709732475830188,-0.004621690159399483,-0.0005575959432058353,-0.010252799586471429,0.06646025753171299,-0.03277563375573659,0.004823116929462534,0.005553305358338201,-0.06153941296318902,0.0603728612255424,0.22201690340964514
15,0.00087196614707028,0.0022950291896055575,0.07118661086796021,0.0013287124430796827,-0.09278955905972534,-0.0033340621321466648,-0.003565693875655929,0.030658547835921347,-0.002640432311842056,-0.0613515468997749,0.031534625661758575,-0.005090609501440713,-0.005652175853084818,0.11372101968193485,-0.007585879145246432,-0.024909839411016564,0.004674441238751848,-0.0039924551400004615,-0.021911161259375776,0.1981135186790107
16,0.01254065864697831,0.030679848265679755,-0.0028166191405825324,0.007617588860701696,-0.05696212501033491,0.016043869755798457,-0.002092791844237207,-0.008669491784887118,-0.005362303149944103,-0.049832787335513926,-0.04309217734364523,0.0003139858079395985,0.005077277417076464,0.06947577939725721,0.024132446721655754,0.021952425624966666,0.005156626556918664,0.08549738528961578,-0.0003825515079673769,0.02617752772243742
17,0.17148670794169787,0.18142010558585087,-0.07874468468931876,0.254223389606401,-0.007193257882730908,-0.24794751251454442,0.11992695111415355,-0.13273285296397158,0.23918702110037984,-0.2274189762297592,-0.7228098333448381,-0.33182004624033745,0.06322534366880897,-0.8298609987234764,0.4638346170565876,-0.0072315796090475,0.25616835246477415,0.24265036246855373,-0.006817465603103479,-0.15382627163834917
18,-0.025783146829594504,-0.05508010727335515,0.19513614007215666,-0.017682743018885082,0.004062894993394605,0.1454720224735244,0.05598856798468288,0.10996873295331362,-0.014398907641870906,-0.0012888000709329716,-0.013228020686870479,-0.2955260251837819,0.003966042740367781,0.2128074904326422,-0.00015399047578248392,0.10399022249255443,-0.03998280953742102,-0.09773430710369609,-0.03347027500763293,-0.024886502257834266
19,-0.013639690263349524,-0.017470328826126667,0.015167635946894853,-0.01927427534926305,-0.08092599958447799,-0.046746514627134285,-0.017562639087194132,-0.011729803938226247,-0.026115864134520737,-0.03724014293439539,-0.0014645066394708417,-0.1113023220240249,-0.0809165445528645,-0.1347371975256718,0.009294500650804371,-0.2344854482424017,0.14857658605729146,0.016696012531855597,-0.22967481496000824,0.15319863014390406
20,-0.011966552533234642,-0.017364206034428297,0.031076530617915467,-0.024648804005351077,-0.019921934366722006,-0.009837696442389387,-0.011839098104092227,-0.0024841769115840685,-0.0293215658341452,-0.024586603801713448,0.02590635433844495,-0.00290634751149772,0.10631693952791026,-0.07527688471362244,0.024446777619521944,-0.03429721066597401,-0.010486280185970332,0.01827609571069839,0.013447997622344453,-2.6491483715895824e-05
21,-5.4737855480313516e-05,-0.0026777808917926916,0.0017863520578355273,-0.0007660815930339738,0.05871961697464423,-0.038125507365259506,-0.005639677036338453,0.0003907424277362681,-0.0022901190448834097,0.06218637590557914,0.048205107038151895,0.026137105500696967,0.029588019179461543,-0.003197085015173862,-0.00033198161929834933,0.008434447176325854,-0.0026848606595279547,0.06466809033612594,0.020540982263026787,0.004086427381431446
22,-0.27955810408649323,-0.29562949161784796,-0.012450554710705664,-0.33538466286176943,-0.3301654235891128,-0.0697222433325578,-0.06007397331690902,-0.11859660988875062,-0.5915114039063115,-0.37682478911023826,-0.10685126549576003,-0.29092228090299804,-0.008528578923751829,-0.03728176235892548,-0.07595020698714228,0.004121128206593739,-0.6304650120375671,-0.21205041524193544,0.08145011633496022,-0.004499647847644228
23,0.01065891230389866,0.059702895520852194,-0.7023730541679838,0.00047984848769502266,-0.5698333140309837,-0.0051029880965305805,-0.12433852898599325,-0.23305673196600898,0.00040509350018593795,-0.4584169748849159,-0.00203931594446658,0.284992878553592,0.38862595269903777,-0.2803925588899411,0.041167307576029974,-0.13390870254988202,-0.056719427210603524,-0.3904806914664222,-0.04392878457192086,-1.9758266434328977
24,-0.004017099451486849,-0.0051305465158278715,-0.03752505034617979,-0.0044045442858559715,-0.5185216162086661,-0.1992357954764476,-0.005977632782495945,0.005193810284947675,-0.01941278138067526,-0.6395943194652803,-0.11523816044190313,-0.12299238791463063,-0.012666254410655586,-0.18980793071277063,-0.01051027985052313,-0.037778935137767575,-0.00831139385773354,-0.05744389895246269,0.027195921284905732,-0.001698034713963903
25,-0.00023461920562231064,-0.001272316119793815,0.09817836517415171,-0.00010239167877739153,-0.017548736114880926,0.00795482410168089,-0.005342850967165647,0.017582565978922115,-0.000249982745827193,-0.0039976473150217465,-0.04469274967083701,0.01052401576856019,-0.04504997182951427,0.06965958535722025,-0.020714274938464096,-0.027448214119277958,-0.0020123411207153773,-0.14821622582478902,0.06068614597299249,-0.020519010842567954
26,0.00023459993752255047,-0.00018761270793037353,-0.00424041318721653,0.0019204681848085325,-0.012906946588156876,-0.0013125902766389697,0.009228989543348897,-0.0031561799504215672,0.0016940774166297912,-0.018450933804256397,0.062164855908663365,0.14711001019407405,-0.020702645358261596,-0.02659242596876108,0.003666531711125831,-0.0027472797632221435,4.236546121469953e-05,0.015589602964907323,-0.02013838864637154,0.0032848918796163805
27,-0.001539750088845704,0.025225956952750917,0.005235924584052709,-0.02024105185474525,-0.07100514271411076,-0.11186442245984744,-0.017815416457310374,-0.001964602837805929,-0.03327905109482141,-0.07156750615213961,0.010224461134067876,-0.11791137545240556,0.0022273713859925605,-0.22178606968354,-0.005108024502589315,-0.2261138038757983,0.06373326593119524,-0.03814022170724751,0.09870177720087318,-0.0011634382448632685
28,0.04305839054973011,0.06337932380320113,-0.21047437378290734,0.05013611050249631,0.4410700604111697,0.17740041513006122,-0.020888441621443054,-0.06501669249859798,0.011676900742163366,0.36241305807343543,-0.07023310501832432,0.2423580702990916,-0.20307677843691302,-0.1182794299273229,-0.027320725234712386,-0.07534055659668622,0.04653444995125835,0.00979657246103105,-0.16547223044973186,-0.20787392230177634
29,0.06208604653898826,-0.05023253376906354,-0.04756711817929551,-0.024679270879199633,-1.0735468504882801,-0.37344659371615135,0.03439592405451575,0.01245259330218822,-0.15004472017733028,-1.0151207500588666,-0.03307789820628502,-0.13683837651262798,0.020033115062409835,-0.14745645690453207,0.1583948123430599,-0.267006862764647,-0.015931366315530625,-0.015181730887781474,-0.194911665282654,-0.050148379448463974
