Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA)
1,-0.0592495111183056,-0.01495864021137916,0.22362320936959112,0.06598287737012472,-0.013496199695083578,1.1102230246251565e-16,-0.00032055885564807873,-0.039672845597185626,0.05704231978564791,0.003383423914529926,0.004670950818513186,-0.010498860907638675,-0.0665580540997999,-0.004677970525842179,0.021872603158502323,0.0350350308321105,-0.04932605738575566
2,-0.05307203899879505,-0.011193837331593137,0.0006431945309860021,-0.002022008698499933,0.019648211645851156,-0.018176405685882368,0.011040117191629718,-0.018595257986742397,-0.16163805085238608,0.0,0.000733036622242511,-0.07833403350567411,0.04689241110415225,0.004706432939622673,0.0002058439910078258,-0.00034103744249134314,-0.024514821830833533
3,-0.005910601870948873,-0.018613590451360462,0.03322498478244529,-0.05929281553061687,-0.04697674321528922,0.012258114430061352,0.038020825850310545,-0.05421460739086938,-0.013856665464589035,0.0,-0.1013536052659986,-0.008259750719775426,-0.000419127547944842,0.0024245819994584304,0.03725959438656148,0.010682670492305268,-0.06939788957271617
4,-0.00015853156107192845,-0.02035002931241321,0.025290339465654,0.0040781257167723075,-0.017572179351445928,-0.0003890221199851718,0.04041371855619047,-0.062037821931040994,8.317679647129595e-06,-0.024408247689574548,0.02455802857738465,-0.16088208211966143,-0.039407914757372,-0.021909810491496227,0.07392780342429302,-0.04213720667832912,0.015246260337640604
5,-0.020602105782559655,-0.04976567075356062,-0.1358570000799947,2.6645352591003756e-16,-0.010727463221804623,-0.012173729183940463,0.22697541731504528,-0.22465556218198568,0.025959051693791847,0.057745825352134975,-0.059180138838750375,0.007612696574100486,0.17415960816657394,-0.24367181476708283,-0.04616676474621313,-0.0526209680263082,0.0006564051735602483
6,0.005755656213365023,0.023734240252585703,-0.01680470886897467,0.01649395472304026,0.0025321659983070345,-0.0007107293580983609,-0.017716221753546722,-3.3306690738754695e-17,-0.0010225571989526561,0.00045262394567666673,0.018430546973343464,-0.026022455174941762,0.0012195865762161362,-0.0021576437133622893,0.16736221585554928,-0.0357164656338619,-0.03819021687638722
7,-0.007420209834563418,0.02153457032236993,0.1411309634016901,-0.00497306727056851,0.25139020681591895,-0.002930612044477243,-0.004750018171413928,-0.05674724443295699,0.003150152613118196,-0.002740859683733621,0.00028581900455879603,-0.0033817946180718208,-0.050042988296611544,0.047988712758115816,0.03638236752483337,-0.048601919578896625,-0.011737294689878674
8,0.0076649133583127195,0.0391098079320968,0.05702554577169959,0.020007840130872534,0.0827314006925288,0.005833648888961485,0.008587279268210813,0.013403189937105531,-0.0008940572283200777,0.0916866425265758,0.0032849612976401767,0.04063246890422989,0.002967697853778617,5.0145711971516514e-05,0.03654579060628728,-0.008473159188633861,0.035303838195722616
9,-0.0050186108605521085,0.011017648574607542,0.005026266282048964,0.009935608981479827,0.18281583455274028,-0.013596354028485224,-0.017873742228850097,-0.030235692230519286,0.010735048354827147,0.0,-0.003122142910468284,-0.010553031955809478,-0.006374000433626559,-0.0005728910984310831,0.04784597940022537,-0.030672907192525255,-0.0008958770381928049
10,0.008436889639251044,0.049448322983756454,0.16136353384196941,0.0008013176370839537,0.13225645797350372,-0.06789577305292778,-0.0023893384025100326,0.102300418033159,-0.02090425862813856,0.1912009591724519,0.0427370639564401,-0.05289892350249703,0.0,-0.009714241782984568,0.011248660323347436,-0.0451687752194424,0.007133365372780376
11,0.00030561934515476173,-0.1029642680499511,0.02538778576122378,-0.08968060881178952,0.031911509614988495,0.00043277656062501446,-0.020987302867713387,0.02972742468536387,-0.0031860322777742312,0.13405672832685708,0.01534263014359375,0.013715270723697359,-0.012243925524472255,8.390295470478426e-05,0.37740174948956423,-0.007138231895739311,0.03149127627873031
12,-0.1398899535706832,-0.07373509655629577,-0.054205007451146446,-0.142068670419018,0.20746683115051204,-0.007542667333821806,-0.12334124732382472,-0.08337519121866795,-0.005523869309995333,-0.012288298207484361,-0.000916429702430288,-0.016505763602441603,-0.01165212994732705,-0.03713040093440685,0.00013142839672264373,0.011644352004726955,0.06422035258195866
13,-0.00950557715579442,-0.0052757162500586706,0.0019015061754857898,-0.04111852068852425,0.19760217221012666,-0.0073793183951119,0.006160587529797423,-0.01883124632745835,0.0014266600212484825,-0.005466067009474096,0.0016135885849568488,0.05374188796794428,0.008554593939632182,0.016935636060046465,0.039448368719169166,-0.02306706184689473,0.05146506548887646
14,-0.00036000948005020516,0.1095410300770057,0.0588735938180607,0.003456610540932159,0.003878135031438945,-0.0010321140430736286,0.01982821636982357,-0.05995776770865158,-0.019842405138664698,0.17469071758779373,-0.006583522380691431,0.015676818968669314,0.014364085760281886,0.0034157572402193303,0.36518835483981527,0.004662080351592601,-0.0002745421393323344
15,0.009663656317735646,-0.07996688775390477,-0.009637442851639833,-0.08146585870935238,0.02283001611011204,0.007637436731689951,0.017703848861638914,-0.016630753729524807,0.015532906291205118,-0.0020970850464668176,-0.16491925641016775,-0.011697135283688542,0.004031718600323098,0.0012506909847860292,-0.15365033595140035,0.0032753366666842254,-0.11520878069373222
16,-0.00040241465536707823,0.0009751636823064125,-6.661338147750939e-17,0.0010091021995708217,0.14652469155648815,0.043967763993121634,-0.02401097441628639,0.001175039390824173,-4.4408920985006264e-17,-0.008223051721267893,-0.1730071269769858,-0.002323374719018423,-0.06354024429347156,-0.017556790236858855,0.5412327326998436,0.09958506827792712,0.06835073647136977
17,0.05253360783704164,0.1397623384165759,0.015445464022527888,0.01514655912143401,0.0012731451150482908,-8.881784197001253e-17,-0.019929596520789294,-0.008322188334805325,0.005471357545000277,-0.0003260755316387809,0.07873587516047334,0.00817809326088489,-0.030410485029915956,0.00292718639138293,0.1451415464748826,0.010509066887479712,0.1479943296124151
