Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA)
1,0.004795955999809642,0.015561779429263244,0.023505990571951595,-0.0018873497770898417,0.004571609566393797,0.0011394859981031624,0.00021950627386071452,-0.022242614646857305,0.0023706823308082825,-0.0015282204207993644,-0.0024242603266448892,0.0008640624993802914,0.10815822631984848,0.014621101571841488,-0.012621639193296886,0.04057624068689765,-0.013124386040220103
2,-0.06823531778335772,0.014163293445067216,-0.07570795527802743,-0.030099106235108364,-0.0017154722468773365,0.020733575755496503,-0.005534042588974409,-0.020020702752107322,-0.04046503732802202,0.014597761588292957,-0.085786435863724,-0.18068779812295083,-0.01913271218389425,-0.00016952019474674173,-0.16511386029314246,-0.0006522547892621633,0.0038425261699461142
3,-0.021472135581236174,-0.013636058692853581,0.0045615331320834505,0.00046868665895163366,0.009320796798832177,0.006211830058149115,0.05496793592792957,-0.004343341913886589,-0.0021453149688830165,1.1102230246251565e-16,0.01750590768020279,-0.023446707319777584,0.06282889893912906,-0.07328393743469361,0.04127048002278329,0.1785681235983257,0.18244546922924784
4,0.0008258019564017394,0.04205369890307684,0.5062323139684567,0.001084137744103475,-0.08142541395296346,-0.14491125128448396,-0.03779932497359297,-0.016470295847038584,0.07576232850731365,-0.02989216939330617,0.04979998332740032,-0.08783282879407492,-0.23015662589247926,-0.00012063503457624414,0.020564145875982764,-0.0033358799511138625,0.02328712537414055
5,-4.4408920985006264e-17,-0.009815432658801004,0.08720901842901804,-0.03581674386584401,-0.07496063172733129,0.09545133480320578,-0.007980185824755858,0.017306924886633678,-0.011907928249661515,-0.006708495503816403,-0.0647597514092078,0.18961774208385926,-0.0010529380554832545,0.364419775656632,0.010943799644865115,0.005845956401910124,-0.03364166149235359
6,0.0007088475668479033,-0.0023060140028461572,0.01289572831613255,-0.013498296248427378,-0.01910811360068243,-0.016403936706407295,0.012809450892367602,0.0006647056939835139,0.004253164221274886,0.027761028018559664,0.025430880575047544,0.0525717970095122,0.003028529034656069,0.025710660141999277,-0.01586361039189612,-3.552713678800501e-16,0.008912284864857822
7,-0.15304243625449626,-0.03873863424074866,-0.14490467534127155,0.018084329093172258,-0.009775686709556863,-0.1134225125164428,0.026865778137079445,-0.07678638277771302,0.00023564551732624395,0.0,-0.03314858893390658,-0.4638622198005944,0.014923519954818642,-0.0010262340600506459,-0.2557365553944181,-0.017857460282290606,0.00045313363604768673
8,-0.00674333708589252,-0.003868765750815739,-0.0005596053099826914,-0.08190328504069902,0.003887284457637952,0.0007718005045956433,-0.015144106624913879,0.004700889001219055,0.040885382113864055,0.0022501760589476393,-0.011491457154410356,-0.22508955446718035,-0.009425360205382738,-0.002417978889132133,0.007232719246018915,0.0023336240846475896,-0.0001359121466288915
9,-0.02401542099223335,-0.010529156723908351,0.16673237908878852,-0.0030234180746755656,-0.029115660330423676,-0.19250212914869363,-0.005318562111529835,0.0007159425334802183,0.007081114363415453,-0.02210093738661336,0.0038365051826311893,0.015036634911343372,-0.11117052091797681,0.007133602937727024,0.20877016302803156,0.007961839799146686,0.014082444903049263
10,-0.00461315897249952,0.0455662634407787,0.12000617345039419,-0.0009636555866121777,-0.01454272750339598,-0.11335982806757128,0.06731448401053201,-0.11326353996733889,-0.018818347842241033,-0.0084954287296783,-0.0021176884941785934,-0.08531528056562292,0.005729468205356558,-0.17597592370463017,-0.07088168405375936,-0.36689114208772766,-0.01073234191280723
11,-0.014229600570636247,-0.04802416730563199,0.012250131704463008,-0.12590176832598013,0.014175576290562274,-0.017453040918417463,-8.881784197001253e-17,0.02687235537260857,0.005675951113123712,0.020276603965151185,-0.007647860787046867,-0.13064161359448206,0.004885525483570507,0.01458029636032936,0.03486634492171914,0.0737883315012772,0.02511233880428738
12,0.02082358310754835,-0.045430312966000266,0.01503416062192171,-0.03106475207107675,0.10039681206874287,0.008872843867259284,0.05233113417052073,0.010328680838143579,-0.007597873213405659,0.006542020808782412,0.0007964514120669009,0.025662957144649345,0.0003550479506260862,0.001483669568791468,-0.08227971961608743,0.09487117988143456,0.011577027136529338
13,-0.00030461160594232874,-0.019348220337666124,-0.6097129933020077,0.001368459483018647,0.03589799604812298,-0.10085354946004839,-0.0006587805921154822,-0.07323490612259805,0.05251113552591846,-0.05822936750739016,-0.045633503191701806,0.17163410735330845,-0.012382056631812067,0.06530526538634018,-0.3950683920139791,-0.47270924583332585,-0.0979100335738737
14,-0.003751743629215509,-0.028990174214742592,0.17408100753452607,-0.0007962217363857605,0.008714707239742703,0.023279403273671572,0.002604574431824469,-0.014448020304401066,0.034618631887489794,0.053320646355226306,0.05811842548364199,-0.4323719466763617,0.001699010017615632,-0.11039165608966368,0.05617378659259298,-0.07701964497067318,-0.06147756580908832
15,0.0145750080378938,-0.03318233363292637,0.015761353890909914,-0.0001108344268759609,-0.0189212312337941,-0.00082051002315644,-0.030126023486534103,0.0031526351908453655,-0.005185465819404933,0.01304450817847782,-0.09079452524944256,0.08983398568926312,0.0023203821175495688,0.24595870434302655,-0.041969489566826466,-0.2976308116676509,0.0
16,0.012812253165621424,-0.003745292865087779,0.038253886948570015,0.11484213333335318,0.2527337147539966,0.01465582774434071,0.03993240170027681,-0.003779355399509088,0.06672402555942507,0.070708139687674,-0.008403589682906953,-0.002368033099984501,0.13713325493847398,-0.011460239828754926,-0.011348078974637344,0.012280549178235557,0.0016414159580630193
17,0.029285820945099773,-0.057158754954695114,-0.6067110634227154,-0.24428686762207272,0.022649861068337974,-0.049719012499715685,0.004195434362405414,0.0710328489741145,-0.06507337408259213,-0.06654335041965034,-0.614064476484462,-1.3744955807499153,0.06120645844466015,-0.04017932370193469,0.509239570064762,-0.17624835402596548,0.034887974634169795
18,-0.010282476664791452,-0.022609043040293007,0.19032881991451325,-0.01250993488601777,0.005805461747926621,0.026140259334101912,-2.2204460492503132e-17,0.00870469418958133,-0.007927118917434296,-0.0017265100902905672,0.021807340264974218,-0.2666380608116955,-0.0008435673515595932,0.003666932659584443,-0.005407620134092639,0.2875377902778281,-0.06440238883460256
19,-0.0436092793672231,-0.005653696308692635,-0.008956297787192914,-0.00211771424587921,-0.0623336579103599,-0.0005430142848163566,-0.0006908359061701397,0.0021991574459369057,-0.05242083794401946,0.07208161843749328,0.0009341222027108964,-0.03548260507856662,-0.057933939823830015,-0.01786334172266486,0.05396882501996523,-0.22860101443547842,-0.012942082658943787
20,-0.02170199054801756,0.00023650795399239312,-0.053491967024493506,-0.03727757170531887,-0.03716566080368695,-0.01020934917297498,0.0011007219554543424,0.009483619953410228,0.0007680349870756275,0.00042971921443655246,-0.0008095720835399334,-0.000679994557383079,0.0,0.03253420919031964,-0.01504655400254229,0.10207639388256587,0.0009605316749684123
21,-0.04704925519369203,0.022363787672428238,0.05016549789017568,-0.03361689245462529,-0.0027078532108002263,-0.0007303653822876121,0.004528620463254795,-4.4408920985006264e-17,-0.013130611712152684,-1.554312234475219e-16,0.15407037961904735,0.2257435751485363,-0.00027624712802858386,0.03434218551691992,0.0005010936088482021,-0.060790400423063384,0.001973879619158869
22,-0.07319561734140763,-0.0011327773833311294,-0.29001607466048374,-0.0023032757965496973,0.027167342524243465,0.013654936286457375,-0.008521898574907682,-0.0006519975800782119,-0.10415045335934825,-0.029001876886222844,0.01733649951117313,0.03218515081986402,-0.0010007811399442624,0.005459789212742016,-0.043146473728744625,-0.007741238774790582,-0.0805090117529208
23,0.0129547758163296,0.002090773497037501,0.0063501736195717305,-0.0075321590065809295,0.04568707923811122,0.009813394360996774,-0.0036202333130087583,-0.0027970008088992193,0.001946755250513199,-0.02029701697811004,0.036801135393263594,0.016187728749674578,-0.0028734032977709044,0.0035562851174203215,-0.008746204580761696,-6.661338147750939e-17,0.03977270350086513
24,-0.016063943448965622,0.026822042865522013,-0.012080467145205543,0.04459609121782249,-0.2510922293383614,-0.10879572548618062,0.0059879555414766635,-0.001455872266387681,0.06212437942408076,-0.24085336175579258,-0.20263548743775872,-0.043365430706839514,-0.05668032893526624,0.004478619360459258,0.07246599885505238,0.0076846240180828305,-0.11583171376211435
25,-0.028912517955568172,0.02689202572071243,-0.01550303257202219,0.006622276875491773,-0.07534138245832116,0.01706123125890835,-0.001878986636196811,0.003993974210949181,0.0017023238645200943,0.0020884124371487235,-0.03974401024698828,-0.0025753929668030696,0.03352588410626185,-0.025636933290068175,0.008883562538016032,-0.020174749419958938,-0.032516418056213504
26,0.015913012998227716,0.005529024204685862,-0.0008231024242993712,0.0,0.005342546570155471,0.002825017122894313,0.0,-0.008597681946050484,0.003339130273013846,-0.007411694434421667,-0.00507082312578373,0.0712607373786635,-7.058839918361315e-06,-0.0028131791230185943,-0.18357469848239807,0.013412471579898421,0.011200512223549518
27,0.015615675579088628,-0.005239229946545354,-0.014317338150823677,0.0,-0.047010040852051224,0.01845269196919268,0.00391429118537272,-0.002996930703188605,-0.03855871128922243,-0.007018238510826613,0.018973071322756142,-0.0790463742938307,0.0002804050457300811,-0.009246103164104768,0.023862252746047474,-0.17945041156898078,-0.023574574410202366
28,-0.017176220154897216,0.04028821392126416,-0.16115325658893276,-0.005630684556116638,0.03113575371943551,-0.028977185439733245,-0.03378637072227368,-0.022408441407195313,-0.17334049311898522,-0.01326843677033578,0.0025004339333988047,-0.02911989251487961,-0.008842069621309068,-0.006758963599074952,-0.06440451367686398,-0.012693775037235011,0.08130598129098998
29,-0.009135110271920955,-0.011740533996969171,-0.06996536208613517,0.02187276738132704,-0.12422519687503127,-0.17929540018941312,-0.0003832522385999182,0.004465790675673232,0.004920069236223457,-0.014734158222684712,0.02278103384763559,-0.0011080302763416094,0.022630720602697173,-0.06840314841029618,0.39700400371180644,-0.0817196137880872,-0.20064675096727286
30,1.3989516805812396e-05,0.03464651184825065,-0.01488216856718404,-1.1102230246251566e-17,0.06289629934851483,-0.01443040768872068,0.00019485774426162284,0.07047103414491525,-0.0033257410825794365,0.02993569215084031,-0.010298150078833234,-0.05149775268934388,-5.551115123125783e-17,-0.019495883814574767,-0.033671800441048894,0.14080155324012028,0.01922655591126904
31,-0.02046773242894675,-0.0034491918969252523,-0.06778206394192784,0.010131941351473373,-0.07554853967647064,-0.010428627476439111,-0.10260920936196671,1.1102230246251565e-16,-0.021036772269803383,-0.03298762097828003,0.003898030579952594,-0.07980136478247264,-0.02331806961611329,4.4408920985006264e-17,-0.03543756775407556,0.030675753089796066,-0.013165694133419437
32,0.07476013785049891,-0.19971370340682731,-0.30597427568456903,0.0300680647998701,-0.03439419317940666,-0.06272675908058319,0.002138879007368888,-0.0017686671974670443,-0.002248424191168308,-0.008738718076494734,0.009528183531507483,-0.17482020463372766,-0.19252143415818518,0.0026280676862126652,0.2151817667940567,0.12407503721232319,-0.08908590802836731
33,0.037762338497779435,0.017538533402327982,-0.08220074237322973,-0.010408759987258254,-0.03793783144602727,0.030283305425368702,0.019473913489906923,0.006098135633761137,-0.00770468447299123,-0.03224107349862485,0.0008812681614052797,0.019974732824276243,0.00014161023904966097,0.006848546256685828,0.07794655203970191,0.005900960232124908,-0.10674845095745777
34,-0.003633080906227315,0.017316867943290726,0.004320803857922995,-0.012945565344844746,3.618004446543921e-05,0.010428559384256353,-0.4416724005849666,-0.15858899991782965,0.000406762970495711,-1.7763568394002506e-16,-0.021405353257998926,-0.008781014932653264,-0.05750500788354791,-0.0011573141242923856,0.06141724463346123,0.03882864009666167,0.029653228902624652
35,-0.04419825123510997,-0.011950037646252066,-0.08375354781783959,0.025584669271181547,-0.2575738450564734,-0.154271415694271,-0.10663946502351833,0.02697859071909674,-0.045695174139891125,-0.009792148376148857,-0.020231757698587094,-0.18950636357797773,2.8516082990925895e-05,0.20787687051830464,-0.07063941953809771,-0.2008502539268049,-0.018576663974620412
36,-0.430570579841657,0.022154683548367294,0.04034988428338822,0.0037124459318682137,0.01486907357005145,0.03816656051419307,-0.3420265993014335,0.043885202777346775,-0.18346844766639034,-0.017947298160208947,0.01185154707997449,0.1581472024583582,0.032667596080731845,0.01083394822439181,-0.38637093557374214,0.1267662336809042,-0.4297236029304593
