Feature,MeanImportance
Molecular Weight (MW),-0.01919283797778205
CharVol (characteristic volume),-0.020641636409963176
Flexibility (number of rotatable bonds / number of bonds),-0.014798275406796436
Number of Heavy Atoms (HA),-0.006675655096728208
RingAtoms,-0.015668336257236584
Halogens,-0.014254394198882024
HeteroAtoms,-0.008490091575690079
RotBonds (NRotB),-0.004663871843036866
AllBonds,-0.01603010248053187
RingCount,-0.006282840172804177
NumStereo,-0.006679369490394713
Fraction of sp3 Carbon Atoms (FSP3),-0.05524375530285273
Hydrogen Bond Donors (HBD),-0.004142598278972363
Hydrogen Bond Acceptors (HBA),-0.005168947330991227
cLogD^7.4,-0.004397959581632759
Topological polar surface area (TPSA),-0.015986116980211768
Total non-polar surface area (TNSA),-0.013903993195524954
