Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA),Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,-1.1102230246251566e-17,0.0016570720815018759,0.1968269773111055,-0.007413215056606725,-0.013591440604475003,-0.020838398534263124,-0.007173064409588781,-2.2204460492503132e-17,0.008483239343768923,-1.1102230246251566e-17,-5.551115123125783e-17,-0.007198875144016836,-0.02188948634678619,0.003067652640039986,0.018352247993091396,-0.0024260010745043915,0.009696505611714968,-0.0061342597369350325,-0.030475938749042843,0.6840024022799857
2,0.0033494792802960193,-0.015629106143647032,0.006653762873170222,0.0033943009190900097,-0.010830235237280716,-0.008192706934387728,-0.005708094015995246,0.00777292414806714,-0.008701073130112957,0.0,0.0,-0.0017449171965694733,-0.000677914839872129,-0.00014385366230029728,0.04954250392452385,-0.0008691131836764176,0.025601294764438197,0.04989715894899911,0.004286212309425952,0.41157900569999895
3,-0.012194619595969347,-0.03321843380557241,0.00516827133419504,0.0,-0.009502538530488835,-0.02514098189035232,0.002585151036509403,0.0034379702501961874,-0.09913546369368875,2.2204460492503132e-17,0.000883759526974437,-0.009835649529908985,0.0036791580840703332,0.000527864751139484,-0.07426675982392596,0.013849604739963838,0.002300461375600715,0.013355084799520278,-0.014107547653592411,0.2636330771320947
4,-0.004964749486170606,-0.03879190368068369,0.00625121479279408,0.003022323550184669,-0.00046385719334417485,0.000671063336193578,-0.013717079305863644,0.0004474804838185409,-0.05658442478593787,-2.2204460492503132e-17,0.0049588503481794,0.0072218276795453454,-0.0018526383303676618,-1.1102230246251566e-17,-0.0009045496195014158,-0.032344255148410585,-0.027823346603332622,0.023320711676411456,0.03424333748821044,0.7502897960495309
5,0.04361930922365409,0.0,-0.25199162259969843,0.0,-0.046078214283996256,0.057179914954414233,-0.009488045813711165,-0.32714663941821254,0.0,0.06553993884457805,0.11807457731590106,-0.019491966710478304,-0.003085620865629135,-0.14066010469575368,0.022805643975526247,-0.16089464809292942,0.019384030043863954,0.1389756824486607,-0.09447104884368636,0.04671369238417418
6,-0.0019163041628183942,0.0006436968249014296,0.0016492875949351005,-5.551115123125783e-17,-0.0026797235111894356,-0.004638484725983305,-0.0033513807453886104,0.0021667572689613944,0.020984155374392955,0.0006548524853422722,0.013807592703039972,-0.0308209354614823,-0.004521660231267188,0.0013378143078353276,0.23325378994036408,-0.03983767356760883,0.0034209067241588787,0.02116723812063339,-0.041478580508913135,0.10160445686718851
7,0.0025402872387829123,-0.0040608122653336244,-0.013419323380677162,7.771561172376095e-17,0.01916969189190577,0.009135228852035503,-0.020208172060978156,-0.011582729009030634,0.0003445067413195502,-0.0022208316984583696,0.0015320651799505813,0.003974414737274656,0.00026282992458166455,-0.0062353106689033485,0.006079068439220792,0.0017468366123867484,6.661338147750939e-17,0.04334383018526293,0.03486716464244396,0.525809265833513
8,0.018248368275047343,0.045178781107675925,0.016351931198789305,-0.004726711466333999,-0.005857173553665907,0.0045048350696076265,-5.889391349755968e-06,-0.011943114406114863,-0.0017053467899331265,0.10882293719547516,-0.004542973577023024,0.022470050739181215,-0.013699957323693723,4.053094094458309e-06,0.007143084889844364,-0.01733742037252136,0.004385009956382036,-0.0629677650602519,-0.0074402923152412925,0.17408292114025162
9,0.0,0.005525260516671548,0.010162969804401633,-0.0014922036987379372,0.1397101299902533,0.005223362766903872,0.0007741857698723598,-0.006980083164336848,-0.0014330570807210342,0.03367420948522887,-0.0006676071841134168,-0.008460979650367373,-0.023806783077566618,0.004152649075101456,0.04230829774008665,-0.016097588398621177,-0.005252712005658511,0.0490577510035788,0.00803648305939082,0.08070341820853698
10,0.021656074918779033,0.007412708620943042,0.1491846118140243,-0.009892791279767443,0.019552653548599575,-0.05345471939069103,0.002070260908007804,0.21864019450243352,0.004432672076833411,-0.007014530892454763,0.00594659884049219,0.02847833037534194,-0.03797090199456821,-0.024939920876421627,0.18025393923671026,-0.02478751356658304,-0.002735283540064415,-0.0004108493203823671,-0.004225238016392241,0.4087747208619592
11,-0.10683675285680097,-0.005954856899165672,0.01659851018485715,-0.002346234970861294,-1.1102230246251566e-17,0.002056206674829031,-0.016901959925733033,-0.06514351922245736,-0.07833402194318757,0.008943111476703814,0.015199602984407656,0.010434140512370049,-0.004361260031861369,0.0,0.13939107159747804,0.0026900033234119824,0.06955610174154903,0.055067426489212604,-1.1102230246251566e-17,0.6452428025279219
12,-0.0059583252920569095,0.004001788531718975,2.2204460492503132e-17,0.010629618670406215,0.047738657951037156,-0.07254266503196927,-0.0923984255308629,0.0041563863073990955,0.007078195401055231,-0.0008060883023054855,-0.0033026134118693705,-0.08797441401846573,-0.05005571835000178,-0.01892112487534492,0.04056901671261422,0.001359365547632363,-0.010052973176967295,0.04050494061037331,0.004370476034780979,0.23273086336989915
13,0.005673910990968678,0.004703661635693723,0.023230878893529306,-0.002091015125584417,0.036993040889147656,0.006244767433943277,0.010291749799954841,0.0,0.00760401957356176,-3.3306690738754695e-17,-0.0006128069242017032,0.011300047042415717,-0.013176580532761073,-0.00248231633865329,0.008764012694235369,-0.011635286550232316,-1.1102230246251566e-17,-0.04595252470736322,-0.008193395444095197,0.34783715550143157
14,-0.011126828954689161,-0.014417960507600403,0.17380178258050374,0.02127672843052113,5.551115123125783e-17,0.013114183211136854,-0.027702449299350406,-0.05496894266260218,-0.0681503635248464,0.03853861944788056,0.04969349963808396,0.0020758859235460504,-1.1102230246251566e-17,0.0011760432796476873,-0.00583259871078865,0.000805163193444014,0.0017677229854018762,0.038151384459768775,0.0015453359638421204,0.3885802936575624
15,0.0005605526473095868,0.001093974766260386,-0.0037457295760304544,-0.058357464403919354,-0.0018454033586065676,0.0008322665959185737,-0.016050135660818345,-0.004055231431251638,-0.0431922778804652,0.0009383066424393683,-0.262610157327681,-0.0002743016179400648,0.011787503913476405,-0.0001927212950587176,-0.20203969518176362,0.02442803886418319,-0.026899158114769773,-0.02363157585455209,-0.08843034115685869,0.03589822926377741
16,0.004704039163197782,-2.2204460492503132e-17,-2.2204460492503132e-17,-2.2204460492503132e-17,0.08499499115418258,-0.01606985691783337,0.0010675076777374782,-0.00553047428870237,-2.2204460492503132e-17,0.036373545083509075,0.006006854668127437,-0.001756709906171139,0.016798416269181382,0.019478165327971798,0.39277021250816235,-0.0036584664708905978,0.0015056450178139835,0.007969254471014587,0.0004891741501324987,0.524101433447957
17,-0.04859465634855877,0.06256583398516627,0.0010312835383856189,-0.05242794332206759,-0.00015804247289665784,4.4408920985006264e-17,-0.010723089174164268,0.0,-0.013077389320877986,0.0014028707941923235,0.03367399972334266,-0.016301576112744964,0.0019629755253336213,-0.0016147678231021034,-0.005550921933734454,-0.00952307166875983,0.07535112698108244,0.001397626814088526,-0.01811512361624219,-0.038931326923240105
18,0.0022806700638442036,-0.04270609353010727,0.03991404959420897,0.02262025059431445,0.03907383133220817,-0.01916291158030179,0.010756463132322414,-0.009692630734376827,0.0034526096741313906,-0.02984649624681208,0.00010340196064950735,-0.07794931287897279,0.0025989554008114977,0.0019851790364201704,0.026753122552594856,-0.020637390470013006,0.012589711158630168,0.026005466181695358,0.004025711402245414,0.07634073288566852
19,0.006737307386649072,-0.01762356304807412,0.014763842619786893,-0.0036760093522122173,0.01419704754494061,-0.015846255951000032,0.025982720164155416,-0.005405999841504449,0.0010785411043301662,0.03164287669695805,0.001908755380429905,0.002294169342914909,-0.0006004807714485527,0.004226827856279436,0.003021176336880982,-0.0043066664873725345,0.020566875231609605,0.017639737190744364,-0.0009610243025880094,0.503230327429
