Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA),Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,-0.003975870031004525,0.0025131395728988926,0.030534999045564448,-0.008806807000241768,-0.06944586807172808,-0.007348480120578959,-1.9984014443252818e-16,0.0780216706085799,0.0003365302154719529,-0.012659146643987419,0.0016019467562052414,-0.004866977197198708,-0.0806671031431615,-0.0010795366074773938,0.008274446993085927,-0.001800037718610703,-0.010207515167538284,-0.008788118437420712,0.10911767401459369,6.561321218974125e-05
2,0.00859351881894077,0.0056141574202402955,-0.025137293039087117,0.006881512614090202,-0.004398000458483375,-0.04829968338816204,-0.0010227005598280048,-0.14281018580619492,0.003194759106168976,0.0036658228197065323,-0.0812586623246894,-0.15256866983359624,-0.0024384466349778753,-0.05353356130659974,-0.1149906206115943,0.0016454012745312108,-0.05617229353744677,-0.014010222687884677,0.023094731849530724,-0.009539681891766882
3,-0.024134447937437863,-0.08691276320659017,-0.024738597069369338,0.001417012087099545,0.11388555062992686,0.002426578714522498,0.0,-0.0597037925159621,0.02040262106765074,0.0001554950655363152,-0.014111590104951199,-0.04578357827452171,0.01526185607015742,-0.04419812110643939,-0.011534600307006548,-0.09574026420977393,0.10592924467992729,0.040903738816551,0.0005217573767752004,-0.006965828287379017
4,0.0,-0.004497950418051655,0.37022373388410285,-0.01277457764718586,-0.038022526947055234,2.2204460492503132e-17,0.03259341973595864,0.037310749510974836,0.09660894133136018,-0.05716509398879048,0.056580937960417764,-0.18816503641383883,-0.03473809025478365,-0.004171727526304325,0.009168640919832516,-0.0009903292046290035,-0.022220074132178257,0.00455388212889567,-0.1013851957758927,0.07725593821305217
5,0.0035674169458725035,-0.007642993780505059,0.040087485340573936,0.000124799506664397,4.4408920985006264e-17,0.04791546178927693,-0.01049949340257963,0.034850636052248515,0.014116109245266628,-0.005508352615065881,0.02094357167667247,-0.21653442384257987,0.024393197335282668,0.2038304802579661,-0.015629438977353825,0.08624891883139937,0.03559470381092065,-0.1768751109013631,0.06036944526042971,-0.018715581682811067
6,0.020441050291591555,-0.08210765706989827,0.00016102655374390374,0.02150081676070863,0.0566488611570841,-0.004036954534352599,-0.0007189833501104692,0.0,-0.015214519043078089,0.02547248735849983,0.0172189034690722,0.028715486400324598,0.00021338968720749918,-0.04632814856090384,0.002419176518620225,0.0,-0.05718356140215088,-0.009833376335236354,0.028269290535335934,-0.028660192687179453
7,0.0,-0.006473869710923052,-0.0992576801634291,-0.022040706884785967,-0.04998878187779234,-0.06439679014275854,0.02068893851627802,-0.002205908412814961,0.01362316684299938,0.003151577749936818,0.0,-0.09763782204217102,0.0,-0.004810145340936578,-0.039686284231693646,0.023940118899921092,0.0024037876118629064,-0.10612447536976326,0.04160162104588092,-0.09649349072006622
8,7.601153608680634e-05,0.007660430496456883,-0.0002530288341483944,0.023898019243037492,0.0012321016001287655,-0.0020254392326001904,0.007993784339084976,-0.0028731479164929353,-0.002001740627419912,-0.0008989413600702933,-0.00947935014291803,-0.09813492456365065,-0.01708141176023952,-0.00014655787946209474,-0.05874176636096604,0.007856665314222067,-3.552713678800501e-16,0.02723048119276834,-0.0002652697520650449,-0.03405822534832612
9,-0.0034263534462247057,0.020718093184331866,0.005181196011655809,0.04200682876413211,-0.37956770859520184,-0.01287608375512046,0.0003113368784132042,-0.011878429205986496,-0.030836021846762485,-0.30779865113630833,6.641729952128195e-05,-0.13793719596391268,-0.11675779031190754,0.0,0.0945288340531878,-0.03427490863259068,-0.06493238928795439,-0.008333151138061679,-0.21520760517690202,-0.04601347265983211
10,0.06644554350461358,0.008798910652628856,0.06313472350718152,3.6261613708621354e-05,-0.015898836707475807,-0.23901866939175748,0.0,0.03540528888290315,-0.04007351896391502,-0.03361956685124645,0.0020148477344044567,-0.03361720978769296,0.04601853584065822,-0.18760229615304627,-0.3228296742047236,-0.1261170102455138,-0.016647729547066704,-0.3525224269722253,0.06989827515555871,-0.13983155388409854
11,-0.08652575447829933,-0.11376077003607521,-0.00245499104483089,-0.42544955161443143,-0.0071654284801274,-0.006199531327659047,0.09648532031664914,0.0019013592559049331,-0.25941636225126286,-0.005990409827340204,-0.03166691133367525,0.0003529563456245999,0.007280263361270167,0.008592957047783244,-0.014972334906404216,0.027964869339761944,-0.00653592726247707,-0.0908450452929642,0.0027996131457153073,-0.012740337869558704
12,0.012321102013523466,-0.04623876340399245,0.017351909667623833,-0.003904852023069194,0.0917448869314743,0.011273682571551601,0.005107646861988691,0.011406044462534026,-0.0005520074116353802,0.046506800446339515,-0.002719589101410724,0.03050605394797039,3.1075605100860934e-05,2.2204460492503132e-17,0.007533411281525326,0.08447928163237853,0.034070099945449184,0.008340795192320815,0.01917027512147188,-0.0006007081693236271
13,-0.0153873131048061,-0.03622825913312415,-0.27336424299371964,0.019309137447210654,-0.06792337265542903,-0.05482781983859153,0.026199223764912127,0.07429296020738645,-0.038532377140331975,-0.001904386504664446,-0.003266198492329497,0.13015113135577291,0.01196275239993989,0.001488634384930254,-0.04817691124495804,-0.07853525350643265,-0.05525713845299383,-0.18877979766337225,0.028023947801263514,0.013066876095734047
14,-0.001041365060559274,-0.023513568449254608,0.1593385134270348,-0.0054503429156998575,-0.0006890427198340321,0.01683420218867606,0.0032931818390326884,-0.02150027122079636,-0.0013109486592030705,0.04993596039027213,-0.023889158873590978,-0.41232546266792786,-0.012516723974398935,-0.04252442591637171,0.05557924055644696,-0.030804999187057612,-0.0781231449271332,0.0005357390946800322,0.04823085724291931,0.005739211878703831
15,-4.4408920985006264e-17,0.0035631362932400323,-0.014064123696917185,0.0010862028380452804,-0.03963472294128323,0.0017679433066296601,0.0007525326685418277,-0.0033057881935878,0.00018460983068462332,0.0,-0.017457150770164364,0.02789592324899983,-0.030035376948895753,-0.02001920601535494,-0.10417232146787883,-0.26423433553412073,0.00044187589941169225,0.04433412656865869,-0.016101419586887888,-0.018395931566484114
16,0.009391653445036096,0.10843914757278969,0.04021480801715904,0.08998053571021325,0.28888463291917876,-0.0016978038774868808,-0.018011886539787712,-0.00333857026100568,0.007400445040486647,0.006466409542608864,-0.00027308880767960007,-0.038521745320448386,0.11797518065408089,0.041765893655112386,0.059286991609839614,0.015006051606448523,-0.03759539158969336,0.01384110989806786,-0.00368654543091671,-0.022513864124850257
17,-0.07949147203764798,-0.034205691551939844,-0.18833878398767306,8.881784197001253e-17,-0.06550212611477502,0.17569826301996452,0.02747313451651485,0.05100337069715159,-0.11137776035117417,-0.024796584068389648,-0.37517775707671075,-0.9334731968413592,0.014997407804643138,-0.36551484791006844,0.40101484253380554,0.05587036202815958,0.01753170858461539,-0.007688019705740024,0.04414881372450883,0.37200408451663786
18,0.0006400757743878938,-0.02794776546878952,0.2641145619711975,-0.005523925495132853,0.004248311884066447,-0.0032860186020147175,-0.0060607987070175895,0.008345610636501122,-0.00018324655271335645,-0.0008648181276040389,0.028871593926200513,-0.17158057485177372,-0.0010681565560773266,0.00037863076781221585,0.038668766942142364,0.21321604761291413,0.01689208868030756,-0.003700803356492632,0.07335309345766076,-0.006387725685877888
19,-0.03979772933526027,-0.00038780977864569797,-0.004038149758350973,2.2204460492503132e-17,-0.009798542895906292,-0.007348077020697996,-0.02142342471526846,-0.008671340313494568,-0.008783471447495406,-0.019230480397049866,4.4408920985006264e-17,-0.006035686359785153,-0.008356508450476951,-0.07762238574722395,0.001365012329364501,-0.0733591296281414,0.03524381865514239,-0.0048617267066380036,0.07504726288296688,-0.11450096032275084
