Feature,MeanImportance
Molecular Weight (MW),8.131916905056009e-05
CharVol (characteristic volume),-0.007554166169282647
Flexibility (number of rotatable bonds / number of bonds),-0.004227372793372167
Number of Heavy Atoms (HA),-0.015101128650559648
RingAtoms,-0.013541885870282317
Halogens,-0.0066597249535970335
HeteroAtoms,-0.004346877479166782
RotBonds (NRotB),-0.0050527323253376265
AllBonds,-0.017158198379483028
RingCount,-0.016755623973370718
NumStereo,-0.0005633813305770843
Fraction of sp3 Carbon Atoms (FSP3),-0.04430872799768304
Hydrogen Bond Donors (HBD),-0.0021073907462380776
Hydrogen Bond Acceptors (HBA),-0.01697764456436536
cLogD^7.4,-0.007972140077671643
Topological polar surface area (TPSA),5.349988005680553e-05
Total non-polar surface area (TNSA),-0.013888899668846282
Ensemble_Average_PSA_Chloroform_ANI,-0.016018035070664526
Ensemble_Average_Num_IMHB_Chloroform_ANI,-0.023895977167225014
Ensemble_Average_RadiusOfGyration_Chloroform_ANI,0.006622693975026986
