Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA)
1,-0.0013764147156196227,0.0042283363242619386,0.11408382243674028,-0.004325469469747123,0.001382403591561232,0.01004389046431724,-0.003907669324651963,0.020966153965907598,-0.009368762149160137,-0.013438175608067416,0.015897549141789445,-0.036521982988780066,0.025220896066827602,-0.03037444458739307,0.013075178981627422,-0.03213841956939904,-0.003034763395672746
2,-0.0009112311722588196,0.0005609098867937589,0.02682449167862653,-0.0029869452116747077,0.0003343369772262017,0.02382081819853421,-0.005175127743005303,-0.019955684983434342,-0.0034043271605600943,0.003906406963151787,0.0023266959894456597,-0.06935945007032698,0.016657179399181165,-0.0147072031425308,-0.002210713872895709,-0.018736691516954097,-0.00046585161419199217
3,0.004905785853744149,0.007408065682220166,0.04563425786902444,0.004493016801280425,0.010952156595303774,0.0064339224934352405,0.008100729128097806,0.015746692825129326,0.004838836378723043,0.011128253337946736,-0.0009608584884433835,0.00654630535278875,0.06345187743906658,0.002931839146531878,0.009609493288551629,0.008217144235861683,0.002773819405642386
4,0.0013371120979858264,0.005827634076307408,-0.007953108743822757,-0.0011206374316015898,-0.0017854021600700709,0.0016445881112376215,-0.006928333158814781,-0.010654834237553612,0.0035389604067449397,0.005248709393049822,-0.0010379703970180177,-0.09723462759689976,-0.018563477576895082,0.0018998952987673845,0.03806504332870474,-0.005727900846540989,-0.011331180593018898
5,-0.10158496288906287,-0.10860130008624455,-0.0834730608431693,-0.05169338916178541,0.05485154613966916,-0.01562762472397079,-0.003753323256775065,-0.11637719385670157,-0.029559043987580403,0.13029448158300524,-0.12252726372049824,-0.30879098446700326,0.0876608757004,0.08127794257875225,-0.006369102952279437,0.15582617332493925,-0.08141340264167037
6,-0.002949994180971438,0.003665706043350614,-0.0038431463568119107,-0.006174460072875943,-0.02208289291662382,-0.10808066628069983,-0.026722422449370554,-0.03244320256100077,0.003335377623955993,-0.003235125232999936,0.15256510341119273,-0.11847269202572305,-0.15415248282457397,-0.06358881500871878,0.014882862209393877,-0.09680679438052711,-0.0019409909431723493
7,-0.0002334601650413326,-0.001624522494337155,0.03431380800528527,-0.002334917028107819,0.036176532713363296,0.015364230874553297,-0.005055747837555935,0.006815439898583064,-0.0012566624457347243,0.041915011900930256,-0.01470883950008468,-0.05775019475587886,-0.08205821224359053,0.0023812930643489993,0.004338119347170166,-0.06090342381738593,-3.6989469064274694e-05
8,0.00014829170689972804,0.0034957927504930984,0.04830983722045786,-0.0003723721725567675,0.028758208311325573,-0.029932369586666462,-0.0005791801179453437,0.012837236767219994,0.0057583448949389045,0.04240616574542383,-0.0013859248955064075,-0.029276703999502895,-0.027252541632747106,-0.016630579816886558,-0.02200937835141764,-0.05364736900119789,-0.009830785924678431
9,-0.0032334780212559975,-0.003704933204552008,0.014616297415134793,-0.005466615377030526,-0.01265895785193727,0.0009796279924520368,-0.005357364897402306,0.00543232172714494,-0.005590881605011089,-0.004645198366984271,-0.0024048614755290743,-0.09014881418463974,0.005448985977676157,-0.0061186940881095666,0.0027765047639163763,-0.017991732865228593,-0.020003697532916663
10,-0.0030320962267611495,-0.008070218686499575,0.26910279069119347,-0.004976205772950659,0.021868035272845844,0.013993379916617732,-0.060443217875107494,0.07916315737273054,-0.006118468441030078,0.01670205093406618,0.01920540829313704,-0.037273151459338405,-0.3482080148028751,0.022420939273824825,0.07555726829670104,-0.11281305918403572,0.006743497647314922
