Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA)
1,0.00278776185057672,0.0024758026564479785,-0.009500460237140795,0.007526689092901639,-0.00028592859410261353,-0.002290406363952968,0.014114543892393482,0.005778645424098006,0.0063131988425300985,-0.0008091142911406557,-0.010996556204503304,-0.0029635775698348744,-0.0007897432306944729,-0.005443922009563696,0.006018902311187802,0.008894172191312544,-0.00018603598146884614
2,-0.06154323444348455,-0.05573606027845215,-0.1562497114302666,-0.05658184378931461,-0.0230700625087626,-0.035964111131579005,-0.08486164361996033,-0.1599555506738178,-0.05073418549591835,-0.03479193337879314,-0.10046742166055941,-0.025830795304662126,-0.06059102012330688,-0.046893707756679406,-0.07442926865392377,-0.10803569091327443,-0.027221345081020233
3,-0.09131923417264673,-0.07216172571928428,-0.05987091111800795,-0.0838719465522336,-0.10260433784109865,-0.2199804559919316,-0.15641836074603038,-0.08746768430282637,-0.07241569753101502,-0.09596995560165186,-0.036288047272889014,-0.033757751925455846,-0.06142431778158046,0.010035038131051466,-0.04413180242647916,-0.040135472534743075,-0.051324675853549204
4,-0.04955701708263756,-0.051919383448544146,0.07990984863693314,-0.03177582432175843,-0.008447554431846128,-0.021017252079031334,0.012863060960274852,0.04655467358944978,-0.03614697046763684,-0.00879872375155164,-0.0423161510669261,-0.168246592906588,0.02456956827190706,-0.0015259649066545534,-0.13315889263105715,-0.015612526764754553,-0.08534669967081607
5,-0.006465950034262091,-0.0036001179015337837,0.005869180279133834,-0.006786510624839348,0.018326207094056544,0.014053499083624788,-0.028202862327825762,-0.004901340931415676,-0.005212719497852314,0.03515172938958142,-0.040582193391102264,0.006058585170349939,0.0050902639439458055,-0.004058502809270092,-0.007209010932468995,0.012964748488680478,0.0019411871650927726
6,-0.01089916440300689,-0.00767139055040984,0.017779886689318115,-0.013295062153709857,-0.0045575211909868905,-0.06766163585589484,-0.031680169512896185,0.014807991414243316,-0.01072228439551195,-0.0003293178122974139,-0.029987548735427815,0.04490455163857567,0.019604667899971083,-0.023838447946182794,-0.025666574878457894,0.010608297842138481,-0.012941773469157258
7,-0.05730834004708472,-0.061093480495080676,-0.03521686818355878,-0.04688063525937123,0.004877952215825143,-0.23023001341566082,-0.07184743840262456,-0.06719018692638445,-0.03545516414830789,0.023747923750329702,-0.12244525340526873,-0.4711280183286789,0.07325654036106002,-0.08395882152626828,-0.08402071776067044,-0.061796527696887614,-0.04816453840605739
8,-0.003704975345952932,-0.006427105206164052,-0.0031667919224414253,0.0049525499469107006,-0.004740994075292359,0.004438652318645065,0.005188511622006731,0.0032812535733391713,0.004718993944306549,-0.0016281233619418912,-0.08406850988888517,-0.033990429856441205,-0.028079771936847474,0.003452471017444325,-0.02758713911589248,0.008578573653981247,0.002297894066101369
9,-0.027400899912381038,-0.028100753668354673,-0.052077632769780724,-0.030023232351518027,-0.06633805210404689,-0.03696347690086086,-0.011800073868690131,-0.046503848039299654,-0.025989326719670913,-0.06703236149906508,-0.014175695319213855,-0.007546041100921874,-0.0036685567919587216,-0.02575734191816319,-0.01038765233585135,-0.005873397052672824,-0.03851418462427194
10,-0.00037860908685429797,-0.0009214691030704047,-0.003790876374382557,0.0019774802909579892,-0.020985426748781698,-0.02245426085514497,-0.03421597286904744,0.02138758083550627,0.00033293179575972777,-0.02029008851166545,0.029444787866834056,-0.0673152705944253,0.10474358231441298,-0.05057285176387234,-0.02471864649115174,-0.09864091225093687,-0.0001398031887195561
