Feature,MeanImportance
Molecular Weight (MW),-0.03323959326667125
CharVol (characteristic volume),-0.03128634903182244
Flexibility (number of rotatable bonds / number of bonds),-0.022684362784574336
Number of Heavy Atoms (HA),-0.029967641531874794
RingAtoms,-0.03226780034638308
Halogens,-0.03197586501564264
HeteroAtoms,-0.03169539562797577
RotBonds (NRotB),-0.029276516137299487
AllBonds,-0.028772453818922964
RingCount,-0.031845856443863466
NumStereo,-0.021858214823362185
Fraction of sp3 Carbon Atoms (FSP3),-0.025008776190036983
Hydrogen Bond Donors (HBD),-0.022295236194274214
Hydrogen Bond Acceptors (HBA),-0.029150447092379843
cLogD^7.4,-0.034178784666935795
Topological polar surface area (TPSA),-0.027372692185699994
Total non-polar surface area (TNSA),-0.026760862590551184
