Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA),Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,-0.007226320344398296,-0.0008880732078758946,0.06073250550204863,-0.008275445173194984,-0.0017438149020592374,0.013072858375857388,-0.010605743694463899,0.004858250670112696,-0.013131079613588236,-0.016192693714598926,0.035115920743744276,-0.036358064923820696,0.004760272816338729,-0.050973457557725824,0.007524606396295685,-0.007968913195291184,-0.005601042585267479,0.07191070203385141,0.01895236420426938,0.08877706659474402
2,0.0054526062284285136,0.005596541596967319,0.006754520735620573,0.0030105322003616485,-0.008403646833808653,0.011832963659634044,-0.0023298994305997354,-0.008143582605421784,0.0023536605639872033,-0.004644788066885131,1.3048017063432838e-05,-0.0004585866373614911,0.004332353364395703,-0.010691648460232161,0.011175078540567008,-0.010224820417030878,0.0030091425027348297,0.010351943941097707,-0.017235345491836362,0.018888323470760426
3,-0.000907737825843613,-3.2090639093040885e-05,0.023539155917440137,-0.0019018761617532575,0.004140085976390861,-0.003949072140063103,-0.0015779452191427624,0.005712251896655918,-0.0014965236528596605,0.003523385006857249,0.0004215813585206618,-0.000148557971469776,0.01253219851849785,-0.0023068008141043927,0.00712479206542711,0.0006058089860578652,-0.00011638028388920585,-0.02587766157462279,0.0035769449962304023,0.026810934556293374
4,0.007329492405859239,0.011916783503406058,-0.004759711991999471,0.004969852074660508,0.0007781715480413953,0.0014940970002156107,-0.004899122404469536,-0.006018813404989942,0.008781167793666578,0.006659216322554807,0.007423274390651502,-0.10967027675037082,-0.01623836606849447,4.616747639303309e-05,0.023605852003387728,-0.0071511207505280065,-0.006008498335444234,-0.005081855752192954,-0.002238604182037973,0.02563666350544943
5,-0.05361114069708393,-0.05933076979425973,-0.0448242793063784,-0.030669748049083713,0.03325289398798237,0.0015712663297187568,0.007627112966116023,-0.05924890089280819,-0.018503322667844203,0.07879125109020872,-0.04659197764080121,-0.1664171963611106,0.03209815252869515,0.07116532445365564,-0.010908553576147017,0.11735614719276768,-0.06640484536856261,-0.10378194030025387,-0.05253872900036294,0.022721608092025038
6,0.005287174257845773,0.010229700569695566,0.0033232955346096382,-0.00045708565882673913,0.0004579007382240263,-0.07296952009935978,-0.011667819470805797,-0.01656625400158136,0.006331052489935774,0.014241511377400063,0.13402963581406943,-0.05953060291531422,-0.13204653240859504,-0.048647721476340555,0.014780931109607254,-0.0853649078975645,-0.00044209347202810444,0.07163234952481323,-0.07106449074781371,0.018970475331871038
7,0.004851838234091044,0.002876691712073631,0.02092712337774575,0.002016454104302978,0.016892630210783355,0.02127379768405524,-0.0027312829784706173,0.011280219366732236,0.002435238577252641,0.019395259270291988,0.0003356209262735943,-0.05773785031318518,-0.06443589807152181,0.004143819916141833,0.004542894408510667,-0.05555276482905998,0.0018760857880322334,0.024927023061227026,0.023028621532783566,0.08102870539506
8,0.005940324711481426,0.00825086250173862,0.0350637006296316,0.0024253059028728984,0.014409253944979638,-0.005439294121446181,0.004340112265533646,0.013093706135608184,0.0059023304143054674,0.0220431033562536,0.007973215876535933,-0.007658212495647953,-0.010288422658231988,-0.016018159604539294,0.0033090236654433223,-0.04323444526457969,-0.006999917748559803,-0.04359775934546709,-0.026158623903834666,0.05909804246226021
9,0.00014090550560597048,-0.0006165540427577997,0.0088414291192769,-0.0019137873803537707,-0.0158598878619457,0.009118018567912122,0.0005607942202867422,0.004157968609554708,-0.0025369660657630576,-0.008630797572820103,-0.001272464182174482,-0.08961478150315519,0.0008321213614180589,-0.006512616582549757,0.006070355263279259,-0.01643699021338183,-0.015266404154931457,0.00277952672559012,0.004411232563144085,0.01503030598969506
10,0.000621825723434033,-0.00836350813954767,0.20191721361945963,-0.003799507807336777,0.02271657567413299,0.022225982780449273,-0.04632811306660482,0.06527913409428461,-0.006042634147740311,0.01796031564399314,-0.004909785163437053,-0.05173123781749041,-0.27547602584679015,0.027786035240338604,0.07129987394311196,-0.09921095480151479,0.001719628335389145,0.001424994893570264,-0.002270959102532477,0.09464986110702714
