Split,Molecular Weight (MW),CharVol (characteristic volume),Flexibility (number of rotatable bonds / number of bonds),Number of Heavy Atoms (HA),RingAtoms,Halogens,HeteroAtoms,RotBonds (NRotB),AllBonds,RingCount,NumStereo,Fraction of sp3 Carbon Atoms (FSP3),Hydrogen Bond Donors (HBD),Hydrogen Bond Acceptors (HBA),cLogD^7.4,Topological polar surface area (TPSA),Total non-polar surface area (TNSA),Ensemble_Average_PSA_Chloroform_ANI,Ensemble_Average_Num_IMHB_Chloroform_ANI,Ensemble_Average_RadiusOfGyration_Chloroform_ANI
1,0.0028096524473628206,0.002152511018251291,-0.005908257306898146,0.007533836685052564,-0.0040405257267722705,-0.003028417334729605,0.014707814891085146,0.009533239817295657,0.006046654668636386,-0.006564246417725528,-0.002614534330925089,-0.005093979203556143,-0.012794858946633925,0.001172431799161444,-0.0036266559246148633,0.02716958314375715,-0.00120043446885314,-0.017773862153737642,0.0008673317035123862,-0.0030312033500633495
2,-0.024689657270618802,-0.019413728435165534,-0.08322790072120385,-0.024515413809372767,-0.036045989233582,-0.05437363153585155,-0.0692855884568097,-0.07750291044656821,-0.02099596748618764,-0.04984787109272868,-0.04456946763811935,0.008972808249237407,-0.06163492049532373,-0.009544180314412487,-0.036118117348643605,-0.05828405265485961,-0.006632925179936633,0.04523551561744972,0.05165898186460718,0.03972651657953876
3,-0.06834352705910884,-0.049306040664147434,-0.0206651893471129,-0.05904831752587203,-0.06318646575657591,-0.22011615380014318,-0.13669772070553415,-0.052034468196072894,-0.05031534303139222,-0.05878473416180412,-0.03613673381150599,-0.020206920856760922,-0.0589496478260517,-0.005467875499018349,-0.02059907606896503,-0.04323478424612277,-0.026418892652737492,0.011447259120487918,-0.016161767267923087,-0.0065959236286564195
4,-0.05594194579094649,-0.05894799595304547,0.0695541101331405,-0.04201922796086879,-0.010573951509702839,-0.019570012792040202,0.010400805101029942,0.037357501723568595,-0.04670499203554479,-0.008294355251403207,-0.044782082411674806,-0.12719151480963617,0.013818706090866972,-0.009497884858524408,-0.14615140914744956,-0.02022909501726249,-0.08566860196958295,-0.12584651379296416,-0.06573614652712001,-0.005831933256326716
5,-0.0038962590917420046,-0.0011473965809645436,0.012994519077107492,-0.0049209244961193836,0.010130875573821507,0.01146454854995953,-0.02524880470809343,0.000418445828366365,-0.004548866640048476,0.026095755565180977,-0.00975480176352419,0.004241629099807409,-0.0020436673836556674,-0.013224043366824968,0.011117876857175246,-0.016690071261914307,0.005971809414401274,-0.01332222352994159,-0.14140363999593858,-0.0009348234960207646
6,-0.009892286478681789,-0.008042797576045757,0.0031742444172283115,-0.01160560843798506,-0.006385042597492707,-0.04497047220376031,-0.025759881546839235,0.0016167606477069051,-0.008310999961197107,-0.0031225601031443563,-0.023573047985180007,0.003544761027221166,-0.018872204715560392,-0.009478113985396752,-0.00569762852665272,0.005532745051441123,-0.00809105908998058,-0.011369951680765622,0.03415418718533245,-0.0016095238684619372
7,-0.04171900597492053,-0.04916839477899404,-0.023210215869900085,-0.03167879064906511,-0.0032140499403414237,-0.17560073947785332,-0.04834671870789897,-0.04114823158269547,-0.02339670861509875,0.006007586133172404,-0.0961224840743344,-0.34932308009395907,-0.020983939593649394,-0.06232749869416145,-0.05423760171806791,-0.03601950669582079,-0.03223487180181257,-0.2613490648873851,0.09751932352532773,-0.015545551036218885
8,0.007247608067671463,0.005383291024895742,-0.004325413062849015,0.011896976709027673,-0.00455278669602095,0.001234164400626092,0.008837759122613198,0.007039547880476027,0.011189381988932068,-0.0032965766151495045,-0.04786368585484453,-0.02037236088885428,-0.02833462162243867,0.00756899090188774,-0.00822823988546062,0.010288251222112011,0.012683046689169841,-0.012559177017822365,-0.0140641525269533,-0.016526740582500875
9,-0.017199904517346543,-0.015977646511381793,-0.034885709052344074,-0.019208419504500453,-0.056674101684560975,-0.0005800395444284012,-0.006948323971245363,-0.03073708618600567,-0.01725015579713233,-0.05573176266346728,-0.010160532546157707,0.0035006280382183564,-0.018809583854671786,-0.019433329856789493,-0.0010218553545912057,-0.010715809069445447,-0.022134078909693156,0.016582843349575337,0.001411893354479532,0.001261935653101176
10,-0.0007563181246522888,-0.00126810918536866,0.01698905141373124,0.0007266581355545477,-0.020741308750644595,-0.012826780659224001,-0.022831764061990258,0.02267485485251426,-0.000224215160072605,-0.01651886875932519,0.01500964694496958,-0.050952021474928645,0.10732571377769995,-0.04519380424630769,-0.02222448880363297,-0.095208094929122,-0.0010622788851233356,0.0005561859978507,0.011174250482254155,-0.030377633324522802
