Feature,MeanImportance
Molecular Weight (MW),-0.026358748953753598
CharVol (characteristic volume),-0.02478924246668226
Flexibility (number of rotatable bonds / number of bonds),-0.014988584256049833
Number of Heavy Atoms (HA),-0.023797289131166438
RingAtoms,-0.02403848490700863
Halogens,-0.023878325357252792
HeteroAtoms,-0.024860484696474366
RotBonds (NRotB),-0.02162915321126438
AllBonds,-0.023275935760137197
RingCount,-0.02435071483281423
NumStereo,-0.01584741683393795
Fraction of sp3 Carbon Atoms (FSP3),-0.017249236101250055
Hydrogen Bond Donors (HBD),-0.019595790293785352
Hydrogen Bond Acceptors (HBA),-0.020938367875983174
cLogD^7.4,-0.027230595727361872
Topological polar surface area (TPSA),-0.019616091969008705
Total non-polar surface area (TNSA),-0.021239532680783508
Ensemble_Average_PSA_Chloroform_ANI,-0.014821824274069046
Ensemble_Average_Num_IMHB_Chloroform_ANI,-0.017852126402043485
Ensemble_Average_RadiusOfGyration_Chloroform_ANI,-0.005855550155093123
