Split,R2,RMSE,Pearson_r,Pearson_r2,ExplainedVariance
1,-0.36358592547584556,0.8228565853867025,0.1983685304221855,0.039350073861857536,0.037022686676200456
2,-0.34373795927264394,0.6480943810155925,-0.03807674678633141,0.0014498386458303995,-0.27867507033306405
3,-0.39740613503962585,0.6317212359148676,-0.2516140337684736,0.06330962198924256,-0.3469145699608729
4,-0.40378906065022346,0.5511238904618451,0.07963631151507936,0.00634194211172676,-0.12906997005872256
5,-0.19022005958356303,0.5362995665962672,-0.1704549777610869,0.02905489944353263,-0.1818932198079526
6,-0.5091821516397197,0.7149686404283543,0.19227899125346098,0.03697121047744852,0.010694384219364084
7,-1.1920851628277043,0.7708106699599084,-0.5691302896652259,0.323909286614424,-0.7188252440329941
8,-0.11335228400689545,0.7479634545084693,-0.1760489813398669,0.030993243830804807,-0.04790034724629555
9,-0.04451256363611522,0.6108328284138352,0.09921755322998675,0.009844122868945255,-0.044511986603052556
10,-0.04281795027523905,0.5513549094485114,0.24095417176669076,0.05805891289177192,-0.042563501921523805
11,-0.2884959493556596,0.6307957628661389,-0.10058406756686399,0.010117154648295459,-0.21439049102164387
12,-0.04676008663023801,0.6917666807354764,0.08015545464973246,0.006424896910105318,-0.034781315506816846
13,-1.080118990631839,0.5789985364816095,-0.13325886007143506,0.01775792378753831,-0.9703166786797752
14,-0.2559465366495648,0.6527548931207869,0.0724218083828918,0.005244918329448298,-0.04788686597571945
15,0.01128512919369673,0.6445429709328634,0.22498109191723453,0.050616491720271134,0.04783609795793764
16,-0.6270243160991746,0.7671767688574113,0.17644516470867802,0.031132896149072515,0.031126606763894116
17,-2.216518386852625,0.6089539963291252,-0.24700434325696008,0.06101114558780216,-1.456915020715691
18,-0.2727632788207728,0.5835134462529029,0.07296130969917727,0.00532335271301926,-0.07838197795635704
19,-0.42085359531988975,0.6369216662189459,0.07887615498190789,0.006221447824729953,-0.20264643995316112
20,-0.38570716624281354,0.8148971351425639,-0.21232813346527546,0.04508323626084783,-0.32159201680544736
21,0.023379996268297898,0.6482042931513476,0.37998594421292065,0.14438931779938485,0.10462405312530376
22,-0.15347796897612853,0.6816217778341324,-0.017295907657057005,0.00029914842168144313,-0.09721899810349388
23,-0.2736696365158544,0.816565839356173,0.15536941693156264,0.024139655717653745,0.023803651663013237
24,-0.5172791298746238,0.6860792576532411,-0.022872666149769905,0.00052315885679883,-0.2322100608234412
25,-0.22992096452296606,0.7368480945126978,-7.467542819187753e-05,5.5764195756402576e-09,-0.07605129465543525
26,0.053367561606263325,0.6901182867439013,0.23397524709033127,0.05474441625098157,0.05387328597183194
27,-0.17186129895051394,0.6116033498752836,-0.0018572245296940987,3.449282953697466e-06,-0.06427036108252815
28,0.12205495343462824,0.47948743347174394,0.35403441093069987,0.12534036412304767,0.12396951485037011
29,-0.1556405949717108,0.5403256398180357,0.3028377633105117,0.09171071088691352,-0.017640302009809705
30,0.005604856998897234,0.681831039171661,0.18337343721574165,0.033625817476315545,0.024158842812578518
31,-0.6901675315284648,0.8283014108204849,-0.11212549953311451,0.012572127645550463,-0.2650400124543073
32,-0.5013658349919965,0.5397683352448486,-0.2614691599333065,0.06836612159622901,-0.4924169689978253
33,-0.28628471199012884,0.6777219023478581,-0.1997872884825646,0.03991496063921549,-0.11989255837716617
34,-0.717674603294346,0.804144160886245,-0.5050789759385875,0.2551047719351723,-0.34569003520994324
35,-0.9787686355471015,0.6354888146296841,-0.4579380701750151,0.20970727611561704,-0.9787678519070822
36,-0.7481479552396337,0.6175667552695667,-0.03226800858887288,0.0010412243782915742,-0.49683283313254734
37,-0.13330154390944426,0.6078190427390437,-0.15628941848124125,0.024426382329204556,-0.12304165680920032
38,-0.9987527739196111,0.7745227909479254,-0.29384717680072453,0.08634616331375626,-0.49559773174094013
39,-0.37280678674607626,0.8220096632826868,-0.39070625883740107,0.15265138069471823,-0.2616830519637574
40,0.03756906476692734,0.7335553627578081,0.20271858831242434,0.04109482604738219,0.040479050533209104
41,0.13600987044309376,0.5609002908483145,0.3811650172034714,0.14528677033972265,0.1370536052423561
42,-0.017743531460601147,0.6133657464969205,0.3169452852436011,0.10045431383814767,0.09972867949967512
43,-1.0865407513371963,0.6406675286559806,-0.32644156913840844,0.10656409806154629,-0.33897477796976494
44,-0.05769109052669297,0.7680556297075165,-0.024181067483121196,0.0005847240246232612,-0.03829313865015416
45,-0.22136492716780687,0.6407338903337273,0.22116603451102174,0.04891441482133046,0.015168761945454023
46,-0.1130454790028208,0.7630836718087121,0.16989278861709356,0.028863559624092434,0.021952573550624077
47,-0.29945262150726637,0.5563812610949699,0.1337261321997299,0.01788267843309964,-0.28829126724413223
48,-0.12371904038377468,0.6572692666993587,-0.009154659709874502,8.38077944035995e-05,-0.11911413850965547
49,-0.7369033168979202,0.7061847203463419,-0.15427043834510615,0.023799368147191198,-0.3181420318320103
50,0.03576277342615719,0.6270738526841495,0.5348073322233333,0.2860188825998388,0.20096551254212558
51,-0.08909738707674131,0.5901936871554269,0.18891005025380586,0.035687007086895456,-0.038256105791297124
52,-0.6137836030602277,0.822407982862809,-0.08067802047985133,0.00650894298854731,-0.08811546663480763
53,-0.09774966463980173,0.7259355560346893,0.010449830110103767,0.0001091989493300313,-0.06818992807264301
54,-0.3112793993687051,0.5981062793752487,-0.044485186132488086,0.0019789317852421102,-0.27441909390959385
55,-1.0331432445161068,0.7774016624305935,-0.42871738946568955,0.18379860003027573,-0.7560842006922757
56,-1.2777847509713913,0.5996682766463078,-0.2872099921000685,0.0824895795621214,-1.2480733917916673
57,-0.10393320412855189,0.5601503154830207,0.10801497949586335,0.01166723579549178,-0.06046954405157212
58,-0.07260331056224101,0.6111274982930167,-0.03488770500760581,0.0012171519606977235,-0.062296791303979804
59,-0.22464413003656136,0.635813298171666,0.25927724261703045,0.06722468853909047,0.052513855281147825
60,-0.0375062403979014,0.7203196946700076,0.01905622295197898,0.00036313963319553047,-0.03695081013386492
61,-0.16893875409651904,0.44087911093388044,0.514136167381309,0.2643359986095413,0.22167685380014068
62,-0.0039024183770441923,0.7275098261166224,0.15003463658970373,0.022510392176604464,0.021189875688782167
63,-0.9011817772206101,0.6827046885406854,-0.28301770681719185,0.08009902237206196,-0.8704007309098478
64,-1.460351458738053,0.6745896338293749,-0.20734303591062123,0.042991134540633164,-0.4571844185174343
65,-0.3843756150804134,0.7897135535217528,-0.12226406589738793,0.014948501809760819,-0.10311247522538669
66,-0.21736941305710888,0.6994823389398971,-0.2289438568454968,0.05241528958729134,-0.17937966120291948
67,-0.11675585748769035,0.8125151700114392,-0.31168938713435024,0.09715027405218686,-0.09412131193206696
68,0.14366768087633097,0.6525232197178811,0.4839626005481394,0.23421979872931792,0.18446500787399
69,-0.7986533900636104,0.5889522889627565,-0.01473975935695454,0.00021726050590092894,-0.39109281153183284
70,-0.7967803755946063,0.9175299340649371,-0.15983194986381657,0.025546252197269574,-0.219927540998883
71,-0.8313121365654252,0.665405856199434,-0.04174406778177517,0.0017425671949694397,-0.13506391825773778
72,-0.03190784054888085,0.6360029344639575,0.31995692629318784,0.10237243468298443,0.10073596239868299
73,-0.4492276663022914,0.8021069943589857,-0.3506217544900134,0.12293561472165525,-0.17201880031462102
74,-0.16663048061621577,0.5677586135442877,0.17331343418041933,0.030037546467410546,-0.05764121426002822
75,-0.2337389448513847,0.6938783797904694,-0.04472445865449198,0.002000277201937363,-0.19973984831009672
76,-1.2675162340235464,0.6401185229985873,-0.44113884317667446,0.1946034789592546,-0.8759961930110083
77,-0.0095757002693162,0.7420346184123575,0.048160175632832314,0.0023194025169852553,-0.009358680191558832
78,0.15906526043483638,0.6157815844070761,0.5597840920087529,0.3133582296660639,0.1598402349418987
79,-0.667915193649004,0.8229039719312685,-0.2953823832977933,0.0872507523626845,-0.17179305192057903
80,-0.7517068097925632,0.6165044566844183,-0.42909943005938533,0.18412632087728933,-0.6511248644722278
81,-0.45718233372748984,0.7815558479275289,-0.39727081261103364,0.157824098552631,-0.28925355661062024
82,-0.20827235890532414,0.7337486821090611,0.02882018531247954,0.0008306030814456614,-0.06079142753827105
83,0.01899540828613988,0.6633241815873114,0.2843606304273544,0.08086096813704242,0.08084800902087097
84,-0.46611483702027345,0.7257464588091391,0.14695708545946212,0.021596384966739653,0.0017855590388784481
85,-0.1681722438093347,0.8407953722331208,-0.32543284659343374,0.10590653764190538,-0.16786563844614988
86,-0.278935659226929,0.6043921314844477,-0.06190834396593786,0.003832643052604875,-0.19389671257458163
87,-0.470215078841022,0.6863309286374144,-0.3301544439558785,0.10900195686381532,-0.4212394108970339
88,-0.019814968648489417,0.5221507760613213,0.12371321778882939,0.015304960255666333,-0.0026192010235868146
89,0.08504154739602832,0.6693299678343505,0.3348568084841849,0.1121290821882141,0.10839193644930578
90,0.10438979821665073,0.5814277427137028,0.42945283790815275,0.18442973998736611,0.11334692041650096
91,-0.15874621117039323,0.8040872793385689,-0.08182847735004481,0.006695899705426797,-0.08711230254618285
92,-0.026638403574500202,0.5896994661313002,0.06145694245476936,0.0037769557758888326,-0.020613127995508185
93,-0.4541073678430614,0.5850010749562937,-0.10833314849328797,0.01173607106246878,-0.1414930927216398
